scenario,policy,tickers,levels,mean_terminal_wealth,mean_wealth_diff_vs_nominal,mean_abs_inventory,mean_fills,mean_fill_rate,mean_join_l1_side_time_frac,mean_improve_side_time_frac,mean_depth_visible_side_time_frac,mean_outside_depth_side_time_frac,mean_no_quote_side_time_frac,mean_full_no_quote_time_frac,mean_visible_depth_rank,mean_bid_offset,mean_ask_offset,mean_crossing_clamp_count,mean_queue_depletion_from_exec,mean_queue_depletion_from_visible_depth,mean_spread_capture,mean_adverse_selection
calibrated_side_gamma,as_poisson,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.03004454437231417,0.034095304136732736,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
calibrated_side_gamma,liquidity_guard,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.030070314697838146,0.0341261950909864,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
calibrated_side_gamma,nominal_hawkes,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.030047136302200312,0.03409840901513879,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
calibrated_side_gamma,robust_gamma,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.03005221384329514,0.034104646055460215,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
calibrated_side_gamma,robust_gamma_abs,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.030070314697838146,0.0341261950909864,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
near_critical_stress,as_poisson,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.03004454437231417,0.034095304136732736,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
near_critical_stress,liquidity_guard,5,10,0.0,-120.21637361372431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
near_critical_stress,nominal_hawkes,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.031208915134072236,0.035562547985225824,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
near_critical_stress,robust_gamma,5,10,120.21637361372431,0.0,2.6,1420.2,0.0177525,0.017560179060535027,0.42760226858709105,0.4084069380284999,0.0,0.14643061432387403,0.0,2.4313349021619217,0.03237577150703862,0.03703292399563466,0.0,1682.3271739130334,969.7138335520054,44.30000000000001,0.0
near_critical_stress,robust_gamma_abs,5,10,0.0,-120.21637361372431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1703703703703712,0.1703703703703712,0.0,0.0,0.0,0.0,0.0
