policy,mean_dp_half_spread,max_dp_half_spread,mean_worst_rho,mean_no_quote_rate,max_no_quote_rate,mean_full_no_quote_rate,mean_one_sided_quote_rate,mean_quote_cap_hit_rate,ablation_family
absolute_gamma,0.28671428571428564,0.6485714285714286,0.6665,0.24545454545454545,0.8409090909090909,0.0,0.24545454545454545,0.013636363636363608,robust_dp
relative_slack,0.2654285714285714,0.4357142857142857,0.6583249999999999,0.22272727272727275,0.6666666666666666,0.0,0.22272727272727275,0.03560606060606059,robust_dp
