quantity,intercept,slope,r2,p_value,stderr
total_var,2.983665245200811,-3.63497169057899,0.995325853621422,0.0001358164626054528,0.14381656694714462
fano_factor,-0.35643919054262296,-2.401049664941856,0.9945475788021552,0.00017115312999632746,0.10264136821936154
