ticker,beta_fixed,mark_groups,n_events_raw,n_events_fit,horizon,event_rate_fit,neg_loglik,aic,success,spectral_radius,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,count_limit_buy,mu_limit_buy,branching_in_limit_buy,branching_from_limit_buy,count_cancel_delete_buy,mu_cancel_delete_buy,branching_in_cancel_delete_buy,branching_from_cancel_delete_buy,count_execution_buy,mu_execution_buy,branching_in_execution_buy,branching_from_execution_buy,count_limit_sell,mu_limit_sell,branching_in_limit_sell,branching_from_limit_sell,count_cancel_delete_sell,mu_cancel_delete_sell,branching_in_cancel_delete_sell,branching_from_cancel_delete_sell,count_execution_sell,mu_execution_sell,branching_in_execution_sell,branching_from_execution_sell,gamma_limit_buy_from_limit_buy,gamma_limit_buy_from_cancel_delete_buy,gamma_limit_buy_from_execution_buy,gamma_limit_buy_from_limit_sell,gamma_limit_buy_from_cancel_delete_sell,gamma_limit_buy_from_execution_sell,gamma_cancel_delete_buy_from_limit_buy,gamma_cancel_delete_buy_from_cancel_delete_buy,gamma_cancel_delete_buy_from_execution_buy,gamma_cancel_delete_buy_from_limit_sell,gamma_cancel_delete_buy_from_cancel_delete_sell,gamma_cancel_delete_buy_from_execution_sell,gamma_execution_buy_from_limit_buy,gamma_execution_buy_from_cancel_delete_buy,gamma_execution_buy_from_execution_buy,gamma_execution_buy_from_limit_sell,gamma_execution_buy_from_cancel_delete_sell,gamma_execution_buy_from_execution_sell,gamma_limit_sell_from_limit_buy,gamma_limit_sell_from_cancel_delete_buy,gamma_limit_sell_from_execution_buy,gamma_limit_sell_from_limit_sell,gamma_limit_sell_from_cancel_delete_sell,gamma_limit_sell_from_execution_sell,gamma_cancel_delete_sell_from_limit_buy,gamma_cancel_delete_sell_from_cancel_delete_buy,gamma_cancel_delete_sell_from_execution_buy,gamma_cancel_delete_sell_from_limit_sell,gamma_cancel_delete_sell_from_cancel_delete_sell,gamma_cancel_delete_sell_from_execution_sell,gamma_execution_sell_from_limit_buy,gamma_execution_sell_from_cancel_delete_buy,gamma_execution_sell_from_execution_buy,gamma_execution_sell_from_limit_sell,gamma_execution_sell_from_cancel_delete_sell,gamma_execution_sell_from_execution_sell,branching_in_side_buy,gamma_side_buy_from_buy,gamma_side_buy_from_sell,branching_in_side_sell,gamma_side_sell_from_buy,gamma_side_sell_from_sell,branching_from_side_buy,branching_from_side_sell,branching_in_event_limit,gamma_event_limit_from_limit,gamma_event_limit_from_cancel_delete,gamma_event_limit_from_execution,branching_in_event_cancel_delete,gamma_event_cancel_delete_from_limit,gamma_event_cancel_delete_from_cancel_delete,gamma_event_cancel_delete_from_execution,branching_in_event_execution,gamma_event_execution_from_limit,gamma_event_execution_from_cancel_delete,gamma_event_execution_from_execution,branching_from_event_limit,branching_from_event_cancel_delete,branching_from_event_execution
AAPL,20.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,118497,30000,23399.908994956997,1.2820562681019578,48402.37577631037,96888.75155262074,True,0.4558263177625983,0.9992649237702832,1.4817192095006932,0.12021351108554469,0.0,1.6461914700921123,1.7510750557218213,0.10488358562970901,25029,0.14662703306703986,0.6114071709679483,0.2888552540365801,13714,0.09261136183956445,0.2777541710507806,0.2930033568243382,18261,0.10545235298723103,0.4367769213609759,0.8417202132291209,29789,0.17428120364048505,0.664795639997092,0.31307324871194,14975,0.10206793793276392,0.3002297408976082,0.24485004624869908,16729,0.09713365970699757,0.4333872782028878,0.7428488034266145,0.15282820727817475,0.13337784125703891,0.11448638762782049,0.02277194139388738,0.010303305784962226,0.1776394876260645,0.040242630871612964,0.11919569615817537,0.0722057330451288,0.015895954176279023,0.006380613522130077,0.023833543277454322,0.013667640889863386,0.007480027383413478,0.3489919719818705,0.04378173825989467,0.006865743319670712,0.015989799526263195,0.024132440402048854,0.02447861795439295,0.24010064755630187,0.1612019590860451,0.10621889645141061,0.10866307854689267,0.017603085593319488,0.0032307995689344116,0.04724853321296598,0.05449303421335048,0.10384050794841561,0.07381378036062221,0.04038124900156062,0.005240374502383129,0.018686939805033283,0.01492862158248329,0.011240979222109855,0.3429091140893176,1.3259382633797046,1.0024761364930987,0.3234621268866061,1.398412659097588,0.4211026875969406,0.9773099715006475,1.423578824090039,1.3007720983872535,1.2762028109650405,0.3609345481601561,0.2743786614478047,0.6408896013570795,0.5779839119483888,0.12823470485456195,0.23264761719765548,0.2171015898961713,0.8701641995638638,0.11275924973380197,0.030827124427577172,0.7265778254024846,0.6019285027485201,0.5378534030730373,1.5845690166557356
AAPL,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,118497,30000,23399.908994956997,1.2820562681019578,45923.4598291589,91930.9196583178,True,0.3687475368594672,1.000300884059319,1.6955224179360697,0.04934752317494384,7.048260707063269e-64,1.650425239919695,1.7510750557218213,0.10064981580212629,25029,0.17253783191665673,0.4815000432246094,0.23240250124442016,13714,0.10574317465225257,0.21421173661388876,0.2371812056447537,18261,0.12280390808553579,0.3562789645270882,0.6576752208519157,29789,0.20659899397659698,0.5289839774652718,0.22578559178463756,14975,0.12070201682259585,0.21350507465465632,0.20047893956245122,16729,0.11117326266721615,0.36440887592666754,0.6053652133240038,0.12795004317940997,0.09706536024857135,0.08800911852015378,0.021561304631113,0.009606731668226296,0.13730748497713496,0.027215155212559936,0.10481139756945501,0.05102481921953675,0.011604856999613278,0.005644884707298536,0.013910622905425244,0.012335213007757048,0.005650755566441075,0.28512363807482033,0.03197570072538845,0.007116206337547934,0.014077450815133364,0.021709544030785333,0.01989111256356348,0.1951153442961205,0.11195445283047684,0.08544182618919698,0.0948716975551287,0.013447489422956973,0.0037084174882049035,0.02458901858621786,0.03552189733098184,0.0833548257568957,0.052883426069399025,0.02974505639095087,0.0060541622085178584,0.01381328215506641,0.013167379267064131,0.009314464903285772,0.2923145310017825,1.0519907443655863,0.7991855005987052,0.25280524376688107,1.1068979280465956,0.3280734271423842,0.7788245009042115,1.1272589277410896,1.0316297446710925,1.010484020689881,0.2831753446717852,0.21200503066955811,0.515303645348538,0.427716811268545,0.08778939896611203,0.19751952552185414,0.14240788678057886,0.7206878404537557,0.0872233493911605,0.02813558901579264,0.6053289020468026,0.45818809302905766,0.4376601452072049,1.2630404341759194
AMZN,20.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,57515,30000,23399.941957546995,1.2820544621190542,27915.789575495815,55915.57915099163,True,0.609922575766248,1.0002271112286405,2.334882236994544,0.254984716159659,0.0,1.5576723940284243,1.7277295791438574,0.1700571851154331,12994,0.12329771846462352,0.82677942816536,0.4141804127552979,9118,0.09377289527842385,0.5310703842095567,0.5498031864400574,5515,0.04842625762124709,0.5384705927115693,1.032978671763918,14851,0.14183414385475293,0.928948281529187,0.45431750038635677,9133,0.08280608268169694,0.5740931934508776,0.4824159213851925,5904,0.045414661844202925,0.5977847111494253,1.063450898485153,0.2128775976399002,0.17029663111201074,0.13624471102111332,0.019803308016875673,0.0860968162157337,0.2014603641597263,0.08609054054395247,0.23070920749218055,0.09196066103050753,0.05553311403616292,0.02639336317495209,0.04038349793180112,0.013480687606810666,0.007389011569569964,0.4732773315765264,0.02034561803893556,0.010475093973628303,0.01350284994609825,0.024401475640010144,0.10466493240480376,0.2730451995534325,0.2517400398371221,0.13774456907379215,0.13735206502002634,0.05644872855633438,0.02788730079259835,0.049290339929528464,0.09307332174179599,0.21469918886933914,0.13269431356128128,0.02088138276829005,0.008856103068894026,0.009160428652809933,0.013822098715464552,0.007006890077747133,0.5380578078662196,1.8963204050864857,1.4223263795925718,0.47399402549391384,2.1008261861294897,0.5746358913667016,1.5261902947627883,1.9969622709592734,2.000184320256702,1.755727709694547,0.5088224211339081,0.49880294880634035,0.7481023397542985,1.1051635776604343,0.29114570487824576,0.4996890603290701,0.3143288124531184,1.1362553038609944,0.06852978712950082,0.033727098689839426,1.0339984180416542,0.8684979131416547,1.03221910782525,2.096429570249071
AMZN,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,57515,30000,23399.941957546995,1.2820544621190542,18705.549183349616,37495.09836669923,True,0.5473364111346355,1.0000898924477506,2.0753226161941205,0.14542487447232239,0.0,1.5631932608671166,1.7277295791438574,0.16453631827674076,12994,0.14229472026223663,0.7278084163795283,0.3548435266222355,9118,0.10828885788449466,0.46346652534850874,0.49458350152956776,5515,0.05788184896483694,0.4720457079340067,0.8913016645766122,14851,0.16487354589809894,0.8119980290952084,0.3946839127830568,9133,0.09898138015126652,0.49673462453069883,0.4394274206484976,5904,0.05276310656142366,0.548497040444868,0.9457103175728492,0.18051714120271659,0.15699904510863238,0.12131174142137006,0.02002841913333101,0.08329101859873715,0.16566105091474118,0.06959330081080348,0.20463294134143978,0.07912433248151161,0.04945912034321613,0.025693954043937504,0.03496287632760026,0.013492846593235693,0.005893756185453875,0.41762095040145153,0.015302442066532876,0.009310717783785595,0.010424994903547119,0.022543396260661822,0.09383851521128372,0.2242560471712495,0.2208130482034806,0.12545704970850774,0.12508997254002507,0.05132761425070323,0.025792057109952356,0.04050128637502162,0.07637347100691436,0.18904023161272673,0.11369996417538056,0.01736922750411471,0.007427186572805624,0.008487306726007967,0.012707412029581821,0.006634448900802911,0.49587145871155497,1.663320649662044,1.249186055546615,0.41413459411542874,1.8572296940707753,0.4915426371818005,1.3656870568889747,1.7407286927284153,1.7798216510044036,1.539806445474737,0.44390200480019004,0.459585628627161,0.6363188120473858,0.9602011498792076,0.2467535064116372,0.4451591841080563,0.26828845935951406,1.0205427483788747,0.058871928193465095,0.029266109442848007,0.9324047107425615,0.7495274394052923,0.9340109221780655,1.8370119821494613
GOOG,20.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,49482,30000,23399.305662676,1.2820893248919218,12820.418564838928,25724.837129677857,True,0.6726230616121767,0.9999424520964331,2.4891489788911874,0.3036838106570867,0.0,1.4478710633071312,1.7357968659238228,0.28792580261669154,11115,0.08891672234018709,0.9736433332324401,0.48806548329259525,6569,0.05600244174318539,0.5519285616676066,0.7419282359061564,5870,0.05071290864928934,0.6455148175280874,0.9493106733023079,13253,0.14113801194937026,0.9892321836267711,0.3613505424438821,6867,0.07555453446522448,0.5028677064531317,0.7637563991411223,5808,0.042979339920690175,0.6699938065699964,1.0287690749919696,0.2760728821915266,0.40548245029763974,0.07364082039969717,0.011686282001251451,0.06239052954350854,0.14437036879881662,0.14451467453302624,0.24889604576643545,0.06625435112407328,0.03385985055047645,0.02418939289231325,0.0342142468012819,0.01174431463230739,0.00458683168766327,0.5949606488191103,0.012585785069256167,0.008185670416720713,0.013451566903029606,0.014414045740880812,0.06742977650732195,0.16403408284252904,0.19762188266442599,0.4084108599565154,0.13732153591509796,0.028055335609586615,0.008776092990249456,0.03324425715070184,0.08729370907175663,0.24959012186368917,0.09590818976714796,0.013264230585267572,0.006757038656846529,0.017176512966196128,0.018303033086715458,0.010989824468375216,0.6035031668065955,2.171086712428134,1.8261530194514792,0.34493369297665466,2.162093696649899,0.35315137304958,1.8089423236003193,2.17930439250106,2.153876016576974,1.9628755168592111,0.4997950925980848,0.9437136163049856,0.5193668079561409,1.0547962681207381,0.2937235697648459,0.5314516535126873,0.22962104484320497,1.3155086240980838,0.05589736337354659,0.030519365229605726,1.2290918954949315,0.8494160257364773,1.5056846350472786,1.9780797482942771
GOOG,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,49482,30000,23399.305662676,1.2820893248919218,734.8441866292196,1553.6883732584392,True,0.6237547064140724,1.0000105749265442,1.976714084965737,0.21103900282626178,0.0,1.4439447454935765,1.7357968659238228,0.2918521204302462,11115,0.10388771632455054,0.8895399203189092,0.46950033432803157,6569,0.06746512328105729,0.4856309975017904,0.6757298544264437,5870,0.05737542483826519,0.604413853360152,0.8392770022049121,13253,0.1589437711893855,0.8928850786368382,0.3384351106053278,6867,0.0868309629118135,0.4451881788211097,0.7017536553510164,5808,0.049918839555706154,0.6253048472784943,0.9182669190015624,0.26083540453309373,0.3812726805117208,0.06156495735948775,0.013323655920177993,0.06114606393395549,0.11139715806047329,0.1430548920323606,0.20146082696080259,0.05426459909249194,0.03213671122201263,0.024870304051973345,0.029843664142149336,0.012739163971229272,0.005461520387376731,0.5564187753975819,0.010465205366531978,0.00626039910407699,0.01306878913335523,0.015202811364368737,0.06939262041371051,0.12963952836316942,0.185134882896313,0.37452445105307774,0.11899078454619887,0.026999386826021474,0.01133771408681539,0.02574912794742674,0.07797848367431355,0.22588350044100472,0.07723996584552784,0.010668675600957767,0.006804492066017717,0.011640014044754333,0.019396171525978684,0.009068936766928107,0.5677265572738578,1.9795847711808516,1.6770728202461456,0.30251195093470623,1.9633781047364423,0.3074343707132421,1.6559437340232002,1.9845071909593872,1.9584556849579067,1.7824249989557477,0.4744967547139535,0.8863358159124646,0.42159242832932936,0.9308191763229002,0.28016947375470824,0.46355234554059604,0.18709735702759586,1.2297187006386465,0.053269216464697705,0.027595348324399544,1.1488541358495492,0.8079354449333594,1.37748350977746,1.7575439212064743
INTC,20.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,404986,30000,23399.943103891,1.2820543993122584,-1383.032589016435,-2682.06517803287,True,0.5807875483213174,0.9542738718210851,2.364158038305221,0.33117454904013466,0.0,1.4554211188963615,1.603943361385153,0.14852224248879153,107468,0.12230985977543184,1.5216417640622812,0.5386922135772485,91159,0.10127501508169369,1.6550253568502877,0.3205319169858117,18664,0.024359353300650945,0.4409367980581938,2.6246253336169985,94763,0.1028918614355628,1.5472485523259918,0.42555795067605656,79113,0.10358362832537059,1.5267139972804042,0.25300720262010834,13819,0.019639929614242314,0.34851571692956823,2.8776675680305033,0.29440780721507337,0.10427512779950238,0.12896827570113892,0.010689458571842865,0.03330109477472391,0.95,0.18276669829340503,0.15632042154168743,0.3090783484400401,0.04291952000074763,0.013940368574407483,0.95,0.0017795269037445556,0.02148159389532958,0.3974538232750336,0.012108476228335345,0.0032535703785678736,0.004859807377182895,0.01681949992836937,0.02411570273251747,0.95,0.24434659085193963,0.06766715568582617,0.24429960312733914,0.03268954236832507,0.010146355317031728,0.8265965928682064,0.11375218505406993,0.11373183083732694,0.4297974908354442,0.010229138868331064,0.004192715699743185,0.012528293332579678,0.0017417199691211686,0.021113182369255974,0.29871066669053714,3.6176039189707625,1.5965316230649549,2.021072295905808,3.4224782665359643,1.887317841115104,1.5351604254208602,3.4838494641800586,3.5562327213266682,3.068890316388273,0.5662633565672253,0.22935908099256996,2.273267878828478,3.181739354130692,0.3721279457165476,0.2941389762704536,2.5154724321436905,0.789452514987762,0.025858861969532132,0.05004106234289661,0.7135525906753333,0.964250164253305,0.5735391196059201,5.502292901647501
INTC,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,404986,30000,23399.943103891,1.2820543993122584,-16901.943943940132,-33719.887887880264,True,0.5296770808560964,0.9669008554638449,1.6757542594669583,0.17563958927290663,0.0,1.4468056876602815,1.603943361385153,0.15713767372487153,107468,0.13433920818716985,1.471572614590426,0.5084812028443475,91159,0.1157667757263352,1.5769495412699364,0.2996919448267324,18664,0.02887262644162126,0.3901629037576487,2.3253202550285033,94763,0.11377348768565917,1.4978751234832053,0.4346045661980471,79113,0.11653215223617641,1.2991435486450063,0.23365051829776357,13819,0.02292747210918196,0.31398220689735895,2.7479374514481885,0.2824393016139309,0.0977285488505698,0.0992378264948361,0.012832004464591906,0.029334933166497275,0.95,0.17145624694281023,0.14782929726597677,0.25017849059943126,0.042528776714948834,0.014956729746769435,0.95,0.0019729841253380512,0.016251652092791086,0.358523987109078,0.010230134782923391,0.003169988624935804,1.4157022582372792e-05,0.01512504059892494,0.023192515928782877,0.95,0.24792521301229242,0.06040347370395124,0.20122888023925398,0.02904788036160769,0.011041353658112093,0.6568495187180002,0.11953859478656777,0.10893782319284243,0.37372837792787617,0.00843974920173576,0.0036485770304998267,0.01053043210715779,0.001549842436722803,0.016847569862767392,0.2729660362584754,3.438685059618011,1.4256183350947622,2.0130667245232488,3.1110008790255703,1.707875067604821,1.4031258114207497,3.133493402699583,3.416192535943998,2.9694477380736313,0.5583215596897402,0.2106594716498012,2.20046670673409,2.876093089914943,0.36257149880593453,0.28276520386370074,2.2307563872453073,0.7041451106550077,0.022192710546720004,0.039917787610994106,0.6420346124972935,0.9430857690423946,0.533342463124496,5.073257706476692
MSFT,20.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,411409,30000,23399.868323966002,1.2820584964264172,-9190.07030334232,-18296.14060668464,True,0.5903884142420749,0.9392270675614114,2.712821478041551,0.38034755418077415,0.0,1.4366469310242738,1.6060284717843103,0.16938154076003653,93869,0.07812743183973657,1.566011349059177,0.49223353613126913,80813,0.09028590543490604,1.6599981861196853,0.28277227202336375,16715,0.025863596115587452,0.3203846478495878,2.7838170864731215,111826,0.09023815297847718,1.6299622772443814,0.605908115520911,91487,0.08619585808160662,1.7281955733474659,0.3224121789331519,16699,0.02416167731259237,0.37070954531527867,2.788118389853758,0.2861798561196496,0.06677413678299905,0.2102487348099426,0.008108654901457481,0.04469996644512817,0.95,0.15222927381562745,0.11188938171180636,0.39572185811740956,0.03583583351300103,0.014321838961840885,0.95,0.00014281440598458181,0.028216704903362186,0.27139991138077485,0.009364740339036948,0.004196117045009504,0.007064359775419739,0.0041491950006372225,0.05105842165241654,0.95,0.34942305193143874,0.09505265859647301,0.1802789500634158,0.03830345614544714,0.02211542110997643,0.95,0.20284739772931745,0.13940532595699484,0.37552397240573,0.011228940643923165,0.002718205862803167,0.006446582164994481,0.00032843710665935404,0.024736271927705448,0.32525110760919307,3.5463941830284504,1.5228026720475563,2.0235915109808937,3.728867395907126,2.036020222580198,1.6928471733269277,3.558822894627754,3.716438684307821,3.1959736263035574,0.647860757953183,0.25758518347701675,2.2905276848733584,3.3881937594671507,0.42921596120339306,0.2877319677406185,2.6712458305231395,0.6910941931648665,0.02106493249560405,0.0598672997388803,0.6101619609303821,1.0981416516521803,0.6051844509565156,5.571935476326881
MSFT,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,411409,30000,23399.868323966002,1.2820584964264172,-27043.928979444237,-54003.857958888475,True,0.5463582850875636,0.9508619467917055,1.9771701889872542,0.21590489496894913,0.0,1.425157466147564,1.6060284717843103,0.1808710056367464,93869,0.08768827446759703,1.5099374019335985,0.49035153732045433,80813,0.10690609886461086,1.4882059268725398,0.23613692227382177,16715,0.02914595206973444,0.2850942307080135,2.5721072558328535,111826,0.10295267442524195,1.5818949074328263,0.5973613611042753,91487,0.10603931385245996,1.5739025167101526,0.27302650041080323,16699,0.026887918166936517,0.33860791168387705,2.6086593183988,0.2922161468809292,0.05240007546198725,0.16753941397522645,0.008544464537015305,0.039237301078440374,0.95,0.14216478598092727,0.09592401282707595,0.33629243162085376,0.03653083490720217,0.01271860352430532,0.8645752580121754,0.00025126363093926795,0.02262816659524357,0.24479927064487622,0.008176538018725678,0.00388858899515298,0.005350402823075727,0.006013795119333913,0.04329790400240833,0.95,0.35447712903668405,0.072858823174803,0.1552472560995971,0.03947366037300232,0.018494057176803514,0.8696231601723596,0.18931432250806776,0.12324130070462065,0.33375601577529884,0.010231885335322412,0.003392706210303143,0.003852979419537573,0.0003180720965803352,0.021081882933480886,0.2997303856886527,3.2832375595141516,1.354215567618059,1.929021991896093,3.4944053358268565,1.944380147809071,1.5500251880177853,3.2985957154271297,3.4790471799138785,3.091832309366425,0.6612515355739624,0.20779410371763896,2.222786670074824,3.0621084435826926,0.40748360376919956,0.25037797423280544,2.4042468655806877,0.6237021423918905,0.018977759081567694,0.05099134473418058,0.5537330385761422,1.0877128984247295,0.5091634226846249,5.180766574231653
