scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection
rho0.300_eps0.0050,0.3,0.3105,0.005,as_poisson,160,-7.172178116889879,-5.069692832111677,7.432784106938682,-32.246984421465186,-7.800395899187528,2.4,9.335849056603774,0.025424999999999996,0.6817226109467457,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,nominal_hawkes,160,-7.172187258448963,-5.069702939586769,7.432785047609578,-32.24699624068998,-7.800405208920931,2.4,9.335849056603774,0.025424999999999996,0.6817134693877552,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,robust_vol_only,160,-7.172180249073989,-5.069695189586817,7.432784326341397,-32.246987178190025,-7.800398070596728,2.4,9.335849056603774,0.025424999999999996,0.6817204787627553,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,robust_gamma,160,-7.172172953602029,-5.069687123260216,7.432783575634088,-32.24697774579205,-7.800390640912393,2.4,9.335849056603774,0.025424999999999996,0.6817277742346939,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,robust_gamma_abs,160,-7.17214638745763,-5.069657750082278,7.432780841969455,-32.24694339812433,-7.800363586040076,2.4,9.335849056603774,0.025424999999999996,0.6817543403790088,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,liquidity_guard,160,-7.17214638745763,-5.069657750082278,7.432780841969455,-32.24694339812433,-7.800363586040076,2.4,9.335849056603774,0.025424999999999996,0.6817543403790088,2.035616055912926
rho0.300_eps0.0050,0.3,0.3105,0.005,known_true_gamma_no_ambiguity,160,-7.172185502456936,-5.069700998052973,7.432784866917087,-32.24699397034813,-7.800403420624472,2.4,9.335849056603774,0.025424999999999996,0.6817152253796854,2.035616055912926
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,as_poisson,160,-7.659506586719584,-6.317352826842569,5.564967837280141,-22.883828147006817,-7.982292752065329,2.48125,9.528891509433961,0.0268625,0.7370388683431954,2.1493477711932014
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,nominal_hawkes,160,-7.659516245879217,-6.3173632603651875,5.564967980098424,-22.883837439362793,-7.982302425741182,2.48125,9.528891509433961,0.0268625,0.7370292091836734,2.1493477711932014
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,robust_vol_only,160,-7.659486620879102,-6.317331260365126,5.564967542072453,-22.883808939362716,-7.982272756219636,2.48125,9.528891509433961,0.0268625,0.7370588341836737,2.1493477711932014
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,robust_gamma,160,-7.65945578669554,-6.317297954242793,5.5649670861775125,-22.883779276097492,-7.982241875698479,2.48125,9.528891509433961,0.0268625,0.737089668367347,2.1493477711932014
rho0.300_eps0.0200,0.3,0.34199999999999997,0.02,robust_gamma_abs,160,-7.659343505354404,-6.317176671443935,5.564965426139633,-22.883671258604792,-7.982129425630286,2.48125,9.528891509433961,0.0268625,0.737201949708455,2.1493477711932014
