ticker,event_group,beta_fixed,n_events_raw,mu,rho,neg_loglik,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,all,1.0,118497,0.33591352719339723,0.7381431944900075,8636.185540634677,True,30000,23399.908994956997,1.2820562681019578,1.0000386156274368,1.6779708737023515,0.2344073655958404,0.0
AAPL,all,5.0,118497,0.5485805670933537,0.5721315002873011,3780.615739005505,True,30000,23399.908994956997,1.2820562681019578,1.000031982616715,1.343550938760553,0.1814350761184358,0.0
AAPL,all,20.0,118497,0.7112996399922095,0.445200821656144,88.21990567310786,True,30000,23399.908994956997,1.2820562681019578,1.0000308766867445,1.4428258418218252,0.12172170693135292,0.0
AAPL,all,100.0,118497,0.8381538615406203,0.34622486016622933,-2578.3103176082222,True,30000,23399.908994956997,1.2820562681019578,1.0000041231071966,1.7005016109847806,0.06439228533531338,1.8196520736205512e-108
AAPL,limit,1.0,54818,0.3424393142408276,0.7330197147457778,8734.078194028483,True,30000,23399.439833202,1.282081973493755,1.0000347549453596,1.8275657490788284,0.253220270730057,0.0
AAPL,limit,5.0,54818,0.5522816017763129,0.5692690664468008,3463.2978755918557,True,30000,23399.439833202,1.282081973493755,1.0000330084179778,1.4377976189924488,0.20053065942150583,0.0
AAPL,limit,20.0,54818,0.6928242670085587,0.4596181449191072,-1293.7113100757415,True,30000,23399.439833202,1.282081973493755,1.0000215714845468,1.4386352501366089,0.13511717052977318,0.0
AAPL,limit,100.0,54818,0.8130311269362757,0.36588275120797215,-4476.8113360139105,True,30000,23399.439833202,1.282081973493755,1.0000529610663664,1.625526529715932,0.05486685403858653,7.250641479910864e-79
AAPL,cancel_delete,1.0,28689,0.28523740948421655,0.7674744159624372,6704.861622960583,True,28689,23399.242163246996,1.2260653486061008,1.0000422947841898,2.4745560810742058,0.31118630613336906,0.0
AAPL,cancel_delete,5.0,28689,0.46418505044173886,0.6214363591968833,222.86083167692777,True,28689,23399.242163246996,1.2260653486061008,1.0000306191962507,1.8318236088074695,0.2628380080979414,0.0
AAPL,cancel_delete,20.0,28689,0.6105864691003603,0.5020178894654915,-5544.354431754517,True,28689,23399.242163246996,1.2260653486061008,1.0000397523022766,1.8417060456498386,0.20555751977273234,0.0
AAPL,cancel_delete,100.0,28689,0.7141776509977669,0.4175263707940315,-12583.800822158402,True,28689,23399.242163246996,1.2260653486061008,1.0000422597986278,1.9188874334789998,0.13440229224550332,0.0
AAPL,execution,1.0,34990,0.1856236525218983,0.8555606576290973,-2913.8969934771812,True,30000,23399.638136466998,1.2820711083239666,1.0000321890585615,4.2560278866700125,0.5233023364208574,0.0
AAPL,execution,5.0,34990,0.2885287555847303,0.775001696343116,-18894.77835350974,True,30000,23399.638136466998,1.2820711083239666,1.0000436244911084,3.4852977873799085,0.4754651275748798,0.0
AAPL,execution,20.0,34990,0.37622087233398277,0.7065441234552423,-34634.47799468574,True,30000,23399.638136466998,1.2820711083239666,1.0000016434429713,2.938563163886428,0.41603548779396904,0.0
AAPL,execution,100.0,34990,0.4551813081682751,0.6449850679978806,-51950.054844066515,True,30000,23399.638136466998,1.2820711083239666,1.0000328332992672,2.521998995365471,0.33827645591989547,0.0
AMZN,all,1.0,57515,0.24988212993022724,0.8053088984701774,3075.0290023218367,True,30000,23399.941957546995,1.2820544621190542,1.0000548785071273,3.281090089724636,0.39004967534001944,0.0
AMZN,all,5.0,57515,0.4086764792312483,0.6812797628153457,-7643.13083042626,True,30000,23399.941957546995,1.2820544621190542,1.0000339713259623,2.713961160670721,0.33114572971797324,0.0
AMZN,all,20.0,57515,0.5302377496314119,0.5864350669575686,-17935.83336147441,True,30000,23399.941957546995,1.2820544621190542,1.0000268085456785,2.33066193451244,0.2595825772855814,0.0
AMZN,all,100.0,57515,0.6234629701957819,0.5136838327901263,-27340.422509619853,True,30000,23399.941957546995,1.2820544621190542,0.9999998870263936,2.0724106793811528,0.14948941130246995,0.0
AMZN,limit,1.0,27845,0.24416852805200376,0.794916252038442,5272.686587477219,True,27845,23399.768664789997,1.189969029133985,1.0000406012377696,3.343760952857688,0.39604468180609786,0.0
AMZN,limit,5.0,27845,0.39171845749034573,0.6708400878969555,-4465.821573307188,True,27845,23399.768664789997,1.189969029133985,1.0000346646557088,2.778265321213715,0.34563058590341034,0.0
AMZN,limit,20.0,27845,0.5021029728488111,0.5780740936137605,-14309.977947179636,True,27845,23399.768664789997,1.189969029133985,1.0000355008896724,2.4346988188342613,0.2872832331343526,0.0
AMZN,limit,100.0,27845,0.5811843975889627,0.5115612812162694,-24213.797852324868,True,27845,23399.768664789997,1.189969029133985,0.9999817837069157,2.152722080550481,0.1926506486228295,0.0
AMZN,cancel_delete,1.0,18251,0.1998828706133386,0.7439698108600243,11576.09938897883,True,18251,23397.680329292998,0.7800345907431878,1.0000550246212976,2.7075038564240343,0.34841044091397055,0.0
AMZN,cancel_delete,5.0,18251,0.3061852814959605,0.6075430862707226,5938.476131988677,True,18251,23397.680329292998,0.7800345907431878,1.0000605145893045,2.4399732984377773,0.2918561595145538,0.0
AMZN,cancel_delete,20.0,18251,0.38400580518113075,0.507744188138934,414.4072428002655,True,18251,23397.680329292998,0.7800345907431878,1.0000552705174746,2.295865087935224,0.23273998721313297,0.0
AMZN,cancel_delete,100.0,18251,0.4352979539529123,0.44197636294626436,-4711.330459982051,True,18251,23397.680329292998,0.7800345907431878,1.0000563981237465,2.173106798924609,0.1480004784292403,0.0
AMZN,execution,1.0,11419,0.08818235638431994,0.8198392324435136,4662.07361657244,True,11419,23399.528379662996,0.4880012885184679,1.0000855949413685,5.083027036173309,0.5370196675437644,0.0
AMZN,execution,5.0,11419,0.12191056141942405,0.7503878019815725,-2858.996964915723,True,11419,23399.528379662996,0.4880012885184679,1.0000926399342545,3.778971451869303,0.4840082395378185,0.0
AMZN,execution,20.0,11419,0.14704764876266022,0.6987878022469783,-9423.404699224591,True,11419,23399.528379662996,0.4880012885184679,1.0000755652246107,3.1420195741519716,0.4192741857079232,0.0
AMZN,execution,100.0,11419,0.1704406074790226,0.6508250667180916,-16078.125145303085,True,11419,23399.528379662996,0.4880012885184679,1.0000612734413266,2.6114360195804243,0.3412551929370372,0.0
GOOG,all,1.0,49482,0.23696154912828496,0.8154000290392468,-3516.65621283144,True,30000,23399.305662676,1.2820893248919218,1.000036519715022,4.1019999864320615,0.4409364087396057,0.0
GOOG,all,5.0,49482,0.3591519919692938,0.7199087397959342,-16732.731985855942,True,30000,23399.305662676,1.2820893248919218,1.000040492725313,3.1570277823285156,0.3824979928319462,0.0
GOOG,all,20.0,49482,0.44800020962604,0.6506229791440283,-29625.637218745447,True,30000,23399.305662676,1.2820893248919218,1.0000644061097046,2.3512433735507297,0.30743354437410214,0.0
GOOG,all,100.0,49482,0.523341902264039,0.5918034560788434,-41719.1851780679,True,30000,23399.305662676,1.2820893248919218,1.0000116347802097,1.8965964812881633,0.21553770324739444,0.0
GOOG,limit,1.0,24368,0.237544904074777,0.7720575049572228,3577.137237186904,True,24368,23399.166564423,1.0414046129766883,1.0000384012551926,3.401085693215683,0.3862854477357091,0.0
GOOG,limit,5.0,24368,0.35819712853129176,0.6560781368671909,-4892.058892999859,True,24368,23399.166564423,1.0414046129766883,1.0000445039311145,2.5702829612938127,0.3368398322224105,0.0
GOOG,limit,20.0,24368,0.43378443262145383,0.583497215962226,-13595.77600600964,True,24368,23399.166564423,1.0414046129766883,1.0000521534018492,2.0058430012453528,0.2672447836192443,0.0
GOOG,limit,100.0,24368,0.49407108403908695,0.5255938389449079,-21622.493565113116,True,24368,23399.166564423,1.0414046129766883,1.0000409026841726,1.7540334274210216,0.18760144190682476,0.0
GOOG,cancel_delete,1.0,13436,0.1594503390253869,0.7224175103589918,8590.436962902073,True,13436,23395.670190521003,0.574294298499888,1.0000701192556583,2.612324295357584,0.33841374319133033,0.0
GOOG,cancel_delete,5.0,13436,0.21784217538593062,0.6207242990496572,4127.189373830675,True,13436,23395.670190521003,0.574294298499888,1.0000740325540811,2.0173899872258305,0.27958840379847516,0.0
GOOG,cancel_delete,20.0,13436,0.26146691917615145,0.5447609571421207,155.67376176841753,True,13436,23395.670190521003,0.574294298499888,1.000078695161448,1.7473855383040906,0.2058596406188485,0.0
GOOG,cancel_delete,100.0,13436,0.2968037219818514,0.48324706061955386,-2707.3491055950435,True,13436,23395.670190521003,0.574294298499888,1.0001002050031818,1.6696244860660359,0.13045768605823338,4.960297466584909e-199
GOOG,execution,1.0,11678,0.08497738406342258,0.8304648533769152,3663.437897436984,True,11678,23398.942648953995,0.49908238056739895,1.0000828884142325,5.691244298347532,0.5974745660750294,0.0
GOOG,execution,5.0,11678,0.11225335965384042,0.775213093020297,-5399.456068158697,True,11678,23398.942648953995,0.49908238056739895,1.0000871603127566,4.726778983345926,0.5495974198371768,0.0
GOOG,execution,20.0,11678,0.1344334273939076,0.7307268845465316,-13520.104572232256,True,11678,23398.942648953995,0.49908238056739895,1.0001070204069153,3.978400891222076,0.4911908854775869,0.0
GOOG,execution,100.0,11678,0.15380247972990807,0.6918757431931299,-22303.468671649436,True,11678,23398.942648953995,0.49908238056739895,1.0000726605182853,3.1316660704733783,0.41464823772249026,0.0
INTC,all,1.0,404986,0.2617839852526284,0.7960158712315641,-8044.550162204374,True,30000,23399.943103891,1.2820543993122584,1.0000328353763313,4.184008961760575,0.4578016290521807,0.0
INTC,all,5.0,404986,0.386645777948449,0.6984518832199598,-25212.138269047417,True,30000,23399.943103891,1.2820543993122584,1.000035715776517,3.542748194813588,0.4087763037202819,0.0
INTC,all,20.0,404986,0.4643849412720765,0.637830355402151,-41145.06778781925,True,30000,23399.943103891,1.2820543993122584,1.0000617705643189,2.7149000327262645,0.3302499402944371,0.0
INTC,all,100.0,404986,0.5269413777401593,0.589050829935253,-56790.5236682135,True,30000,23399.943103891,1.2820543993122584,1.000077806634922,1.8001148956463844,0.16244816199343728,0.0
INTC,limit,1.0,202231,0.2678104186158867,0.7912899508863847,-7669.368792375815,True,30000,23399.933605998,1.2820549196904658,1.0000351214666576,4.466562994715309,0.47754722444902253,0.0
INTC,limit,5.0,202231,0.3964756084803357,0.6907834599485438,-25154.581075706174,True,30000,23399.933605998,1.2820549196904658,1.0000383579606629,3.865257377633137,0.43448135193285414,0.0
INTC,limit,20.0,202231,0.46816441814583515,0.6348833849836506,-42071.17564313476,True,30000,23399.933605998,1.2820549196904658,1.0000627607557355,3.010976523107955,0.3560899790690044,0.0
INTC,limit,100.0,202231,0.5205714090649634,0.5939676854212182,-59705.13019940268,True,30000,23399.933605998,1.2820549196904658,1.0000257681878968,1.9893186358249877,0.1923198600142419,0.0
INTC,cancel_delete,1.0,170272,0.2555057203476764,0.8009052254374589,-7870.718325042086,True,30000,23399.811731036003,1.2820615971114815,1.0000354991413805,4.405201732120533,0.4395987823954037,0.0
INTC,cancel_delete,5.0,170272,0.3783989106417251,0.7048864627721007,-24429.154923427373,True,30000,23399.811731036003,1.2820615971114815,1.0000298883177985,3.5999596971510326,0.38070864512779545,0.0
INTC,cancel_delete,20.0,170272,0.46690791874796356,0.6358187610518294,-39038.618917895685,True,30000,23399.811731036003,1.2820615971114815,1.0000159098174606,2.844619508132643,0.3033090745013082,0.0
INTC,cancel_delete,100.0,170272,0.5438839964157326,0.5758551147537116,-52437.03575895303,True,30000,23399.811731036003,1.2820615971114815,1.0000953606274918,1.935598700305527,0.13127062679015603,0.0
INTC,execution,1.0,32483,0.08786938870929244,0.931983002517987,-29712.295452691124,True,30000,23399.942731388,1.2820544197212447,1.0000277270440838,17.06449059349805,0.7561903796050516,0.0
INTC,execution,5.0,32483,0.12883897295895932,0.8995475451209483,-60115.38518834444,True,30000,23399.942731388,1.2820544197212447,1.0000410260568198,15.353483051583858,0.7220835167999542,0.0
INTC,execution,20.0,32483,0.16189397920560666,0.8737160534805495,-88003.95071525985,True,30000,23399.942731388,1.2820544197212447,0.9999972576619278,12.84198926151709,0.6874563311582289,0.0
INTC,execution,100.0,32483,0.19434645256966243,0.8486044215029844,-119847.78938885775,True,30000,23399.942731388,1.2820544197212447,1.0001993368671205,10.54714225533494,0.670195558562835,0.0
MSFT,all,1.0,411409,0.21067611041633477,0.8358205000474767,-9066.618140222305,True,30000,23399.868323966002,1.2820584964264172,1.000020586164224,5.376454456049478,0.5190966689320263,0.0
MSFT,all,5.0,411409,0.31526273380819897,0.7541109550000296,-29650.457903780276,True,30000,23399.868323966002,1.2820584964264172,1.0000168929314937,4.093445257666365,0.46237345135062996,0.0
