rho_true,horizon,n_paths,reps,rho_hat_mean,rho_hat_std,bias,rmse,q05,q95
0.3,5.0,60,20,0.2802978157530956,0.08276456649013436,-0.019702184246904397,0.08304005573868459,0.1930871532452521,0.41229410903204283
0.3,20.0,60,20,0.3132605992602848,0.05873988455220486,0.013260599260284833,0.05876817870317154,0.19837891277149808,0.3973192246313059
0.3,80.0,60,20,0.2743191663556272,0.07221744693552849,-0.02568083364437279,0.07492727725242343,0.17432888146907832,0.38273249027093953
0.7,5.0,60,20,0.6819896605101673,0.04028248188063757,-0.01801033948983266,0.043196258607427124,0.617537791354367,0.7328939075223183
0.7,20.0,60,20,0.7071978522903717,0.04085216003876553,0.007197852290371731,0.04046310799277875,0.6395012718830363,0.7585544837041595
0.7,80.0,60,20,0.7252504980551603,0.026377201747506525,0.02525049805516033,0.0360354906371605,0.6821748819281503,0.7575543914728018
0.9,5.0,60,20,0.8560894276308784,0.024872951522247107,-0.04391057236912166,0.05015843794757293,0.8202765355422722,0.8888735028823468
0.9,20.0,60,20,0.9206377446251555,0.013163194943072184,0.02063774462515544,0.02430067322662056,0.9039485367709422,0.9402529798315828
0.9,80.0,60,20,0.9328195548785571,0.008684882375906235,0.03281955487855703,0.033893642548651653,0.9199095014713149,0.9478011960347219
0.97,5.0,60,20,0.9136715711816155,0.00897017039273427,-0.05632842881838451,0.05700291792688139,0.8999484499292679,0.9278513307997844
0.97,20.0,60,20,0.9772328291510666,0.002896626910161578,0.0072328291510666,0.0077643249939938,0.9730924664190869,0.9803551261020627
0.97,80.0,60,20,0.9964718030001949,0.0006053573418502052,0.026471803000194916,0.02647837775840689,0.9955388888917486,0.997359750793988
