symbol,date,event_group,beta_fixed,n_events_raw,event_share,mu,rho,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
BTCUSDT,2024-01-15,all,1.0,1364603,1.0,0.2664800717871065,0.6163161500241544,41672.34227497309,83348.68454994618,True,60000,86399.99836458101,0.6944444575892089,1.000016953804617,1.6156406318733258,0.2132522847263294,0.0
BTCUSDT,2024-01-15,all,5.0,1364603,1.0,0.34919895716508115,0.4971607790161012,29325.98536867091,58655.97073734182,True,60000,86399.99836458101,0.6944444575892089,1.000012590009795,1.0867598066525757,0.1348891507463272,0.0
BTCUSDT,2024-01-15,all,20.0,1364603,1.0,0.4002810268975879,0.4235867182307293,20335.916059651805,40675.83211930361,True,60000,86399.99836458101,0.6944444575892089,1.0000009031438588,0.9391808397023982,0.0558397222072722,6.371305193296933e-163
BTCUSDT,2024-01-15,all,100.0,1364603,1.0,0.45081492825048536,0.3508060322329873,20131.847376941092,40267.694753882184,True,60000,86399.99836458101,0.6944444575892089,0.9999903368150465,1.0009467500289488,0.07138279996917554,5.643346002872187e-266
BTCUSDT,2024-01-15,buy_aggressor,1.0,490089,0.35914401477939006,0.2561836180679245,0.6311151501523793,46220.18494635563,92444.36989271126,True,60000,86399.9964901395,0.6944444726551299,1.0000153705985086,1.9316023315038555,0.27457204366629984,0.0
BTCUSDT,2024-01-15,buy_aggressor,5.0,490089,0.35914401477939006,0.32326297014075367,0.5345150982781096,26716.28967499751,53436.57934999502,True,60000,86399.9964901395,0.6944444726551299,1.0000134137756902,1.4181128248902697,0.20235790976222628,0.0
BTCUSDT,2024-01-15,buy_aggressor,20.0,490089,0.35914401477939006,0.3700816575320534,0.46707919922086005,12836.453226139813,25676.906452279625,True,60000,86399.9964901395,0.6944444726551299,1.000000323189671,1.1719488124860764,0.14027418103193043,0.0
BTCUSDT,2024-01-15,buy_aggressor,100.0,490089,0.35914401477939006,0.4346081823202305,0.37414878634407894,8314.919084393623,16633.838168787246,True,60000,86399.9964901395,0.6944444726551299,0.9999940419744631,1.1912235185476303,0.14023966347812844,0.0
BTCUSDT,2024-01-15,sell_aggressor,1.0,874514,0.6408559852206099,0.1933108845290544,0.7217082332398337,12658.466395305324,25320.93279061065,True,60000,86399.99787449202,0.6944444615283246,1.0000174072073522,3.5340128264437287,0.30331846337531265,0.0
BTCUSDT,2024-01-15,sell_aggressor,5.0,874514,0.6408559852206099,0.25577886728263693,0.6317099606399428,-9137.859753929719,-18271.719507859438,True,60000,86399.99787449202,0.6944444615283246,1.0000335859747465,1.9123289224864584,0.19030917160771174,0.0
BTCUSDT,2024-01-15,sell_aggressor,20.0,874514,0.6408559852206099,0.3010811855904005,0.5664281722586473,-23901.04991755006,-47798.09983510012,True,60000,86399.99787449202,0.6944444615283246,0.999992174577105,1.2165612755580513,0.07873307888247022,2e-323
BTCUSDT,2024-01-15,sell_aggressor,100.0,874514,0.6408559852206099,0.3520907784441925,0.49297178684835685,-26693.845297757274,-53383.69059551455,True,60000,86399.99787449202,0.6944444615283246,0.999990946006533,1.090058782841858,0.07248665424051925,2.9866911411422093e-274
ETHUSDT,2024-01-15,all,1.0,597417,1.0,0.3013229234917613,0.5661263212728436,60661.23153885304,121326.46307770608,True,60000,86399.9965974675,0.6944444717924755,1.000016743442203,1.2572335347653898,0.2381182631510305,0.0
ETHUSDT,2024-01-15,all,5.0,597417,1.0,0.3763951259494764,0.45801672894697204,46301.32003342527,92606.64006685054,True,60000,86399.9965974675,0.6944444717924755,1.0000204438853122,1.0455671540789278,0.17965692727316385,0.0
ETHUSDT,2024-01-15,all,20.0,597417,1.0,0.42604901454428046,0.3865141679289744,34838.84681224773,69681.69362449546,True,60000,86399.9965974675,0.6944444717924755,1.000025054793456,0.9801960238921377,0.09318267816909495,0.0
ETHUSDT,2024-01-15,all,100.0,597417,1.0,0.47704832216422005,0.31299484132242045,29462.23706507198,58928.47413014396,True,60000,86399.9965974675,0.6944444717924755,0.9999521609681904,1.0328804632898025,0.09317627369916706,0.0
ETHUSDT,2024-01-15,buy_aggressor,1.0,308467,0.5163344866316157,0.2581155931290639,0.6283354502632944,49591.489154039016,99186.97830807803,True,60000,86399.99430842404,0.694444490190782,1.0000163576858745,1.7155692313394157,0.2902135078796331,0.0
ETHUSDT,2024-01-15,buy_aggressor,5.0,308467,0.5163344866316157,0.3245653022004753,0.5326351119701871,29852.038404421026,59708.07680884205,True,60000,86399.99430842404,0.694444490190782,1.0000087520696606,1.282866344099134,0.2211432834227458,0.0
ETHUSDT,2024-01-15,buy_aggressor,20.0,308467,0.5163344866316157,0.36875593193586514,0.4689648633757154,15119.594033324378,30243.188066648756,True,60000,86399.99430842404,0.694444490190782,0.999976657690429,1.103161336430169,0.14931737380125548,0.0
ETHUSDT,2024-01-15,buy_aggressor,100.0,308467,0.5163344866316157,0.4237824784978053,0.38989783898431246,7556.586794548093,15117.173589096186,True,60000,86399.99430842404,0.694444490190782,1.000153552037864,1.1007013950060287,0.1493134213411277,0.0
