ticker,beta_fixed,mark_groups,n_events_raw,n_events_fit,horizon,event_rate_fit,neg_loglik,aic,success,spectral_radius,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,count_limit_buy,mu_limit_buy,branching_in_limit_buy,branching_from_limit_buy,count_cancel_delete_buy,mu_cancel_delete_buy,branching_in_cancel_delete_buy,branching_from_cancel_delete_buy,count_execution_buy,mu_execution_buy,branching_in_execution_buy,branching_from_execution_buy,count_limit_sell,mu_limit_sell,branching_in_limit_sell,branching_from_limit_sell,count_cancel_delete_sell,mu_cancel_delete_sell,branching_in_cancel_delete_sell,branching_from_cancel_delete_sell,count_execution_sell,mu_execution_sell,branching_in_execution_sell,branching_from_execution_sell,gamma_limit_buy_from_limit_buy,gamma_limit_buy_from_cancel_delete_buy,gamma_limit_buy_from_execution_buy,gamma_limit_buy_from_limit_sell,gamma_limit_buy_from_cancel_delete_sell,gamma_limit_buy_from_execution_sell,gamma_cancel_delete_buy_from_limit_buy,gamma_cancel_delete_buy_from_cancel_delete_buy,gamma_cancel_delete_buy_from_execution_buy,gamma_cancel_delete_buy_from_limit_sell,gamma_cancel_delete_buy_from_cancel_delete_sell,gamma_cancel_delete_buy_from_execution_sell,gamma_execution_buy_from_limit_buy,gamma_execution_buy_from_cancel_delete_buy,gamma_execution_buy_from_execution_buy,gamma_execution_buy_from_limit_sell,gamma_execution_buy_from_cancel_delete_sell,gamma_execution_buy_from_execution_sell,gamma_limit_sell_from_limit_buy,gamma_limit_sell_from_cancel_delete_buy,gamma_limit_sell_from_execution_buy,gamma_limit_sell_from_limit_sell,gamma_limit_sell_from_cancel_delete_sell,gamma_limit_sell_from_execution_sell,gamma_cancel_delete_sell_from_limit_buy,gamma_cancel_delete_sell_from_cancel_delete_buy,gamma_cancel_delete_sell_from_execution_buy,gamma_cancel_delete_sell_from_limit_sell,gamma_cancel_delete_sell_from_cancel_delete_sell,gamma_cancel_delete_sell_from_execution_sell,gamma_execution_sell_from_limit_buy,gamma_execution_sell_from_cancel_delete_buy,gamma_execution_sell_from_execution_buy,gamma_execution_sell_from_limit_sell,gamma_execution_sell_from_cancel_delete_sell,gamma_execution_sell_from_execution_sell,branching_in_side_buy,gamma_side_buy_from_buy,gamma_side_buy_from_sell,branching_in_side_sell,gamma_side_sell_from_buy,gamma_side_sell_from_sell,branching_from_side_buy,branching_from_side_sell,branching_in_event_limit,gamma_event_limit_from_limit,gamma_event_limit_from_cancel_delete,gamma_event_limit_from_execution,branching_in_event_cancel_delete,gamma_event_cancel_delete_from_limit,gamma_event_cancel_delete_from_cancel_delete,gamma_event_cancel_delete_from_execution,branching_in_event_execution,gamma_event_execution_from_limit,gamma_event_execution_from_cancel_delete,gamma_event_execution_from_execution,branching_from_event_limit,branching_from_event_cancel_delete,branching_from_event_execution
AAPL,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,118497,30000,23399.908994956997,1.2820562681019578,45923.4598291589,91930.9196583178,True,0.3687475368594672,1.000300884059319,1.6955224179360697,0.04934752317494384,7.048260707063269e-64,1.650425239919695,1.7510750557218213,0.10064981580212629,25029,0.17253783191665673,0.4815000432246094,0.23240250124442016,13714,0.10574317465225257,0.21421173661388876,0.2371812056447537,18261,0.12280390808553579,0.3562789645270882,0.6576752208519157,29789,0.20659899397659698,0.5289839774652718,0.22578559178463756,14975,0.12070201682259585,0.21350507465465632,0.20047893956245122,16729,0.11117326266721615,0.36440887592666754,0.6053652133240038,0.12795004317940997,0.09706536024857135,0.08800911852015378,0.021561304631113,0.009606731668226296,0.13730748497713496,0.027215155212559936,0.10481139756945501,0.05102481921953675,0.011604856999613278,0.005644884707298536,0.013910622905425244,0.012335213007757048,0.005650755566441075,0.28512363807482033,0.03197570072538845,0.007116206337547934,0.014077450815133364,0.021709544030785333,0.01989111256356348,0.1951153442961205,0.11195445283047684,0.08544182618919698,0.0948716975551287,0.013447489422956973,0.0037084174882049035,0.02458901858621786,0.03552189733098184,0.0833548257568957,0.052883426069399025,0.02974505639095087,0.0060541622085178584,0.01381328215506641,0.013167379267064131,0.009314464903285772,0.2923145310017825,1.0519907443655863,0.7991855005987052,0.25280524376688107,1.1068979280465956,0.3280734271423842,0.7788245009042115,1.1272589277410896,1.0316297446710925,1.010484020689881,0.2831753446717852,0.21200503066955811,0.515303645348538,0.427716811268545,0.08778939896611203,0.19751952552185414,0.14240788678057886,0.7206878404537557,0.0872233493911605,0.02813558901579264,0.6053289020468026,0.45818809302905766,0.4376601452072049,1.2630404341759194
AMZN,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,57515,30000,23399.941957546995,1.2820544621190542,18705.549183349616,37495.09836669923,True,0.5473364111346355,1.0000898924477506,2.0753226161941205,0.14542487447232239,0.0,1.5631932608671166,1.7277295791438574,0.16453631827674076,12994,0.14229472026223663,0.7278084163795283,0.3548435266222355,9118,0.10828885788449466,0.46346652534850874,0.49458350152956776,5515,0.05788184896483694,0.4720457079340067,0.8913016645766122,14851,0.16487354589809894,0.8119980290952084,0.3946839127830568,9133,0.09898138015126652,0.49673462453069883,0.4394274206484976,5904,0.05276310656142366,0.548497040444868,0.9457103175728492,0.18051714120271659,0.15699904510863238,0.12131174142137006,0.02002841913333101,0.08329101859873715,0.16566105091474118,0.06959330081080348,0.20463294134143978,0.07912433248151161,0.04945912034321613,0.025693954043937504,0.03496287632760026,0.013492846593235693,0.005893756185453875,0.41762095040145153,0.015302442066532876,0.009310717783785595,0.010424994903547119,0.022543396260661822,0.09383851521128372,0.2242560471712495,0.2208130482034806,0.12545704970850774,0.12508997254002507,0.05132761425070323,0.025792057109952356,0.04050128637502162,0.07637347100691436,0.18904023161272673,0.11369996417538056,0.01736922750411471,0.007427186572805624,0.008487306726007967,0.012707412029581821,0.006634448900802911,0.49587145871155497,1.663320649662044,1.249186055546615,0.41413459411542874,1.8572296940707753,0.4915426371818005,1.3656870568889747,1.7407286927284153,1.7798216510044036,1.539806445474737,0.44390200480019004,0.459585628627161,0.6363188120473858,0.9602011498792076,0.2467535064116372,0.4451591841080563,0.26828845935951406,1.0205427483788747,0.058871928193465095,0.029266109442848007,0.9324047107425615,0.7495274394052923,0.9340109221780655,1.8370119821494613
GOOG,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,49482,30000,23399.305662676,1.2820893248919218,734.8441866292196,1553.6883732584392,True,0.6237547064140724,1.0000105749265442,1.976714084965737,0.21103900282626178,0.0,1.4439447454935765,1.7357968659238228,0.2918521204302462,11115,0.10388771632455054,0.8895399203189092,0.46950033432803157,6569,0.06746512328105729,0.4856309975017904,0.6757298544264437,5870,0.05737542483826519,0.604413853360152,0.8392770022049121,13253,0.1589437711893855,0.8928850786368382,0.3384351106053278,6867,0.0868309629118135,0.4451881788211097,0.7017536553510164,5808,0.049918839555706154,0.6253048472784943,0.9182669190015624,0.26083540453309373,0.3812726805117208,0.06156495735948775,0.013323655920177993,0.06114606393395549,0.11139715806047329,0.1430548920323606,0.20146082696080259,0.05426459909249194,0.03213671122201263,0.024870304051973345,0.029843664142149336,0.012739163971229272,0.005461520387376731,0.5564187753975819,0.010465205366531978,0.00626039910407699,0.01306878913335523,0.015202811364368737,0.06939262041371051,0.12963952836316942,0.185134882896313,0.37452445105307774,0.11899078454619887,0.026999386826021474,0.01133771408681539,0.02574912794742674,0.07797848367431355,0.22588350044100472,0.07723996584552784,0.010668675600957767,0.006804492066017717,0.011640014044754333,0.019396171525978684,0.009068936766928107,0.5677265572738578,1.9795847711808516,1.6770728202461456,0.30251195093470623,1.9633781047364423,0.3074343707132421,1.6559437340232002,1.9845071909593872,1.9584556849579067,1.7824249989557477,0.4744967547139535,0.8863358159124646,0.42159242832932936,0.9308191763229002,0.28016947375470824,0.46355234554059604,0.18709735702759586,1.2297187006386465,0.053269216464697705,0.027595348324399544,1.1488541358495492,0.8079354449333594,1.37748350977746,1.7575439212064743
INTC,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,404986,30000,23399.943103891,1.2820543993122584,-16901.943943940132,-33719.887887880264,True,0.5296770808560964,0.9669008554638449,1.6757542594669583,0.17563958927290663,0.0,1.4468056876602815,1.603943361385153,0.15713767372487153,107468,0.13433920818716985,1.471572614590426,0.5084812028443475,91159,0.1157667757263352,1.5769495412699364,0.2996919448267324,18664,0.02887262644162126,0.3901629037576487,2.3253202550285033,94763,0.11377348768565917,1.4978751234832053,0.4346045661980471,79113,0.11653215223617641,1.2991435486450063,0.23365051829776357,13819,0.02292747210918196,0.31398220689735895,2.7479374514481885,0.2824393016139309,0.0977285488505698,0.0992378264948361,0.012832004464591906,0.029334933166497275,0.95,0.17145624694281023,0.14782929726597677,0.25017849059943126,0.042528776714948834,0.014956729746769435,0.95,0.0019729841253380512,0.016251652092791086,0.358523987109078,0.010230134782923391,0.003169988624935804,1.4157022582372792e-05,0.01512504059892494,0.023192515928782877,0.95,0.24792521301229242,0.06040347370395124,0.20122888023925398,0.02904788036160769,0.011041353658112093,0.6568495187180002,0.11953859478656777,0.10893782319284243,0.37372837792787617,0.00843974920173576,0.0036485770304998267,0.01053043210715779,0.001549842436722803,0.016847569862767392,0.2729660362584754,3.438685059618011,1.4256183350947622,2.0130667245232488,3.1110008790255703,1.707875067604821,1.4031258114207497,3.133493402699583,3.416192535943998,2.9694477380736313,0.5583215596897402,0.2106594716498012,2.20046670673409,2.876093089914943,0.36257149880593453,0.28276520386370074,2.2307563872453073,0.7041451106550077,0.022192710546720004,0.039917787610994106,0.6420346124972935,0.9430857690423946,0.533342463124496,5.073257706476692
MSFT,100.0,limit_buy|cancel_delete_buy|execution_buy|limit_sell|cancel_delete_sell|execution_sell,411409,30000,23399.868323966002,1.2820584964264172,-27043.928979444237,-54003.857958888475,True,0.5463582850875636,0.9508619467917055,1.9771701889872542,0.21590489496894913,0.0,1.425157466147564,1.6060284717843103,0.1808710056367464,93869,0.08768827446759703,1.5099374019335985,0.49035153732045433,80813,0.10690609886461086,1.4882059268725398,0.23613692227382177,16715,0.02914595206973444,0.2850942307080135,2.5721072558328535,111826,0.10295267442524195,1.5818949074328263,0.5973613611042753,91487,0.10603931385245996,1.5739025167101526,0.27302650041080323,16699,0.026887918166936517,0.33860791168387705,2.6086593183988,0.2922161468809292,0.05240007546198725,0.16753941397522645,0.008544464537015305,0.039237301078440374,0.95,0.14216478598092727,0.09592401282707595,0.33629243162085376,0.03653083490720217,0.01271860352430532,0.8645752580121754,0.00025126363093926795,0.02262816659524357,0.24479927064487622,0.008176538018725678,0.00388858899515298,0.005350402823075727,0.006013795119333913,0.04329790400240833,0.95,0.35447712903668405,0.072858823174803,0.1552472560995971,0.03947366037300232,0.018494057176803514,0.8696231601723596,0.18931432250806776,0.12324130070462065,0.33375601577529884,0.010231885335322412,0.003392706210303143,0.003852979419537573,0.0003180720965803352,0.021081882933480886,0.2997303856886527,3.2832375595141516,1.354215567618059,1.929021991896093,3.4944053358268565,1.944380147809071,1.5500251880177853,3.2985957154271297,3.4790471799138785,3.091832309366425,0.6612515355739624,0.20779410371763896,2.222786670074824,3.0621084435826926,0.40748360376919956,0.25037797423280544,2.4042468655806877,0.6237021423918905,0.018977759081567694,0.05099134473418058,0.5537330385761422,1.0877128984247295,0.5091634226846249,5.180766574231653
