ticker,rows,start_seconds,end_seconds,duration_seconds,bin_seconds,event_rate_per_second,execution_share,limit_share,cancel_delete_share,event_count_fano,event_count_acf1,criticality_proxy_acf1_clipped,mean_spread,median_spread,mean_mid,mid_return_std
AAPL,118497,34200.004241176,57599.913117637,23399.908876461,1.0,5.063994079019742,0.29528173709039046,0.46261086778568233,0.24210739512392718,19.460201839139238,0.27816457858680926,0.27816457858680926,0.15501641391765195,0.15,583.1388754145676,0.019680409079382687
AMZN,57515,34200.017459617,57599.95935965,23399.941900032994,1.0,2.4579120856671404,0.1985395114318004,0.4841345735894984,0.3173259149787012,13.328911234142156,0.1335248041339856,0.1335248041339856,0.135907328522994,0.13,222.69514796140146,0.015892744325721492
GOOG,49482,34200.015105074,57599.320718269,23399.305613195,1.0,2.1146781369485095,0.23600501192352774,0.49246190533931533,0.27153308273715693,17.184933209297174,0.30845544775300143,0.30845544775300143,0.3111373832908937,0.29000000000000004,570.6393787639951,0.042509614321548615
INTC,404986,34200.005742728,57599.948441634,23399.942698906,1.0,17.3071363981987,0.08020771088383302,0.4993530640565353,0.4204392250596317,220.65042584241877,0.10949017435984128,0.10949017435984128,0.013323053142577769,0.01,27.052796380615636,0.00044625079017349736
MSFT,411409,34200.03988397,57599.907796528,23399.867912558002,1.0,17.58168044099126,0.08121844684972862,0.4999769086237783,0.4188046445264931,196.48525771916616,0.08059695675469289,0.08059695675469289,0.01344246236713344,0.01,30.550533131263528,0.0004998092893608234
