scenario,policy,tickers,levels,mean_terminal_wealth,mean_wealth_diff_vs_nominal,mean_abs_inventory,mean_fills,mean_fill_rate,mean_join_l1_side_time_frac,mean_improve_side_time_frac,mean_depth_visible_side_time_frac,mean_outside_depth_side_time_frac,mean_no_quote_side_time_frac,mean_full_no_quote_time_frac,mean_visible_depth_rank,mean_bid_offset,mean_ask_offset,mean_crossing_clamp_count,mean_total_fill_lots,mean_priority_ahead_additions,mean_priority_ahead_depletion,mean_priority_behind_additions,mean_priority_behind_depletion_ignored,mean_priority_initial_ahead_lots,mean_priority_visible_quote_resets,mean_priority_mean_initial_ahead_lots,max_priority_visible_levels_used,min_priority_visible_depth_rank,max_priority_visible_depth_rank,mean_priority_queue_fills,mean_priority_improve_fills,max_priority_queue_violation_count,mean_priority_partial_fill_events,mean_priority_residual_fill_lots,max_priority_zero_residual_fill_prevented,mean_spread_capture,mean_adverse_selection
calibrated_side_gamma,as_poisson,5,10,-7.8390078072302884,0.0,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.02199981881123985,0.02848328484216265,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
calibrated_side_gamma,liquidity_guard,5,10,-7.8390078072302884,0.0,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.02203469146368182,0.02852180702286693,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
calibrated_side_gamma,nominal_hawkes,5,10,-7.8390078072302884,0.0,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.022003402647165056,0.028487069377847694,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
calibrated_side_gamma,robust_gamma,5,10,-7.8390078072302884,0.0,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.02201026966818889,0.028494943750310815,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
calibrated_side_gamma,robust_gamma_abs,5,10,-7.8390078072302884,0.0,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.02203469146368182,0.02852180702286693,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
near_critical_stress,as_poisson,5,10,-7.8390078072302884,-1.8751464423889832,1.3766666666666665,21.6,0.00027,0.01922782913617394,0.5300862665443649,0.42158969049636197,0.0,0.02909621382309919,0.0,2.1477534216729177,0.02199981881123985,0.02848328484216265,0.0,15.525555555555556,38773.02555555359,40510.61114009436,3255.76147342995,1075.2470096618374,204828.95577294697,1810.4,62.02689122354094,10,1,6,1.2,20.4,0,7.6,15.525555555555556,1,0.09495555555556187,0.0
near_critical_stress,liquidity_guard,5,10,0.0,5.963861364841305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
near_critical_stress,nominal_hawkes,5,10,-5.963861364841305,0.0,1.2188888888888894,20.8,0.00026,0.020024936291543265,0.5337024211404067,0.4259298847539676,0.0,0.02034275781408243,0.0,2.197347002281514,0.02321998416758999,0.03078906153652186,0.0,15.38111111111111,38785.76888888692,40555.35669564992,3256.5092512077276,1071.222565217393,205041.60799516918,1871.2,61.93737591007543,10,1,6,1.4,19.4,0,7.2,15.38111111111111,0,0.09176666666665946,0.0
near_critical_stress,robust_gamma,5,10,-4.753465298686779,1.2103960661545263,1.1477777777777778,19.4,0.0002425,0.01911384472536157,0.5478472391314799,0.4211075534515862,0.0,0.011931362691572264,0.0,2.163291808932658,0.02484964338139734,0.029457975214635668,0.0,13.645555555555557,38716.61333333136,40501.416695649925,3252.530362318839,1067.8225652173928,204911.8779951692,1807.4,61.949287869227796,10,1,6,1.4,18.0,0,6.6,13.645555555555557,0,0.074666666666686,0.0
near_critical_stress,robust_gamma_abs,5,10,0.0,5.963861364841305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1703703703703712,0.1703703703703712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
