symbol,event_group,dates,beta_fixed_median,rho_median,rho_min,rho_max,residual_ks_median,residual_ks_max
BTCUSDT,all,3,100.0,0.3508060322329873,0.17211583190641422,0.3797619427627802,0.04405892116767915,0.07138279996917554
BTCUSDT,buy_aggressor,3,100.0,0.37414878634407894,0.28820421133453333,0.5352710246658404,0.0784883301294673,0.14023966347812844
BTCUSDT,sell_aggressor,3,100.0,0.48435359878154277,0.31509536945599803,0.49297178684835685,0.07248665424051925,0.07284255570385861
ETHUSDT,all,3,100.0,0.31299484132242045,0.198100191978078,0.5211456485611106,0.05153029444790455,0.09317627369916706
ETHUSDT,buy_aggressor,3,100.0,0.38989783898431246,0.313740189910802,0.5700632216960817,0.09183307809307689,0.1493134213411277
ETHUSDT,sell_aggressor,3,100.0,0.4625801541024004,0.31982039157123743,0.5633563875201643,0.0839207093413907,0.20040529520197334
SOLUSDT,all,3,100.0,0.1529734458796711,0.11720304673991397,0.32767888339525064,0.03581453783870219,0.06388611265080829
SOLUSDT,buy_aggressor,3,100.0,0.2356836975506577,0.19437234427365044,0.5072138022907712,0.07528116115961982,0.13742486456725456
SOLUSDT,sell_aggressor,3,100.0,0.2636726810354885,0.17334694837514544,0.4453657322995755,0.09219728318250113,0.1400275173909498
