ticker,mu,rho,beta,neg_loglik,success,hit_beta_upper,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
AAPL,1.5319601897901445,0.6415477348792256,148.4131591025766,-246683.70813015098,True,True,100000,23399.908994956997,4.273520893673193,1.0000286114698007,2.17520766862458,0.25406563044277586,0.0
AMZN,0.8211990660572092,0.6659401820432201,148.4131591025766,-135889.86629500455,True,True,57515,23399.941957546995,2.4579120796259133,1.0000405050383925,2.780376639745682,0.2571039629909069,0.0
GOOG,0.6796977456176155,0.678600486688568,148.4131591025766,-121207.23340368987,True,True,49482,23399.305662676,2.114678132476736,1.0000126685722703,2.448673097413093,0.2862599232105706,0.0
INTC,1.2692824014036577,0.7032070801184379,148.4131591025766,-373673.151031234,True,True,100000,23399.943103891,4.273514664374194,1.0002214112871766,3.4594770542965176,0.16729639750769074,0.0
MSFT,1.035618263949385,0.7576837399169803,148.4131591025766,-410466.6481021269,True,True,100000,23399.868323966002,4.273528321421391,1.000019474413032,3.948134739764311,0.22808268474734958,0.0
