symbol,date,event_group,beta_fixed,n_events_raw,event_share,mu,rho,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
BTCUSDT,2024-01-15,all,100.0,1364603,1.0,0.45081492825048536,0.3508060322329873,20131.847376941092,40267.694753882184,True,60000,86399.99836458101,0.6944444575892089,0.9999903368150465,1.0009467500289488,0.07138279996917554,5.643346002872187e-266
BTCUSDT,2024-01-15,buy_aggressor,100.0,490089,0.35914401477939006,0.4346081823202305,0.37414878634407894,8314.919084393623,16633.838168787246,True,60000,86399.9964901395,0.6944444726551299,0.9999940419744631,1.1912235185476303,0.14023966347812844,0.0
BTCUSDT,2024-01-15,sell_aggressor,100.0,874514,0.6408559852206099,0.3520907784441925,0.49297178684835685,-26693.845297757274,-53383.69059551455,True,60000,86399.99787449202,0.6944444615283246,0.999990946006533,1.090058782841858,0.07248665424051925,2.9866911411422093e-274
BTCUSDT,2024-04-15,all,100.0,2023628,1.0,0.5749187756910653,0.17211583190641422,60629.98402748642,121263.96805497284,True,60000,86400.00102369949,0.6944444362164073,1.000012677566286,1.135977361502117,0.03367070153576505,1.6520188248541055e-59
BTCUSDT,2024-04-15,buy_aggressor,100.0,1033264,0.5105997742668119,0.4942986840621937,0.28820421133453333,33557.3491102634,67118.6982205268,True,60000,86399.99803324202,0.6944444602523632,1.0000061640414966,1.2811409111662269,0.0784883301294673,1.8e-321
BTCUSDT,2024-04-15,sell_aggressor,100.0,990364,0.4894002257331881,0.47562946107082116,0.31509536945599803,25217.07629219757,50438.15258439514,True,60000,86399.99399039352,0.6944444927469691,1.0000131615310384,1.3467207254208888,0.07284255570385861,6.021157035158012e-277
BTCUSDT,2024-07-15,all,20.0,2111883,1.0,0.4307086800242714,0.3797619427627802,36325.28283659055,72654.5656731811,True,60000,86400.00111195448,0.6944444355070533,0.9999927875912608,0.9746924778302742,0.04405892116767915,1.3709443581007006e-101
BTCUSDT,2024-07-15,buy_aggressor,20.0,1197122,0.5668505310190006,0.32269395489416536,0.5352710246658404,-3421.1694479077632,-6838.3388958155265,True,60000,86400.00019719348,0.6944444428594917,0.9999580658806999,1.1446429012674868,0.04457384883728807,5.735130398354439e-104
BTCUSDT,2024-07-15,sell_aggressor,20.0,914761,0.43314946898099943,0.35807629129876734,0.48435359878154277,8301.758723392726,16607.517446785452,True,60000,86399.52491492785,0.6944482629861473,0.9999892172582048,1.184917253235479,0.057426339070195884,2.746283282127583e-172
ETHUSDT,2024-01-15,all,100.0,597417,1.0,0.47704832216422005,0.31299484132242045,29462.23706507198,58928.47413014396,True,60000,86399.9965974675,0.6944444717924755,0.9999521609681904,1.0328804632898025,0.09317627369916706,0.0
ETHUSDT,2024-01-15,buy_aggressor,100.0,308467,0.5163344866316157,0.4237824784978053,0.38989783898431246,7556.586794548093,15117.173589096186,True,60000,86399.99430842404,0.694444490190782,1.000153552037864,1.1007013950060287,0.1493134213411277,0.0
