scenario,policy,tickers,mean_terminal_wealth,mean_wealth_diff_vs_nominal,mean_abs_inventory,mean_fills,mean_fill_rate,mean_join_side_time_frac,mean_improve_side_time_frac,mean_away_side_time_frac,mean_no_quote_side_time_frac,mean_full_no_quote_time_frac,mean_bid_offset,mean_ask_offset,mean_crossing_clamp_count,mean_queue_depletion_from_exec,mean_queue_depletion_from_visible_size_drop,mean_spread_capture,mean_adverse_selection
calibrated_side_gamma,as_poisson,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.030045177454062832,0.02702482936699351,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
calibrated_side_gamma,liquidity_guard,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.030081096717598555,0.027057717618133914,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
calibrated_side_gamma,nominal_hawkes,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.03004880413580015,0.027028137208511393,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
calibrated_side_gamma,robust_gamma,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.0300559996363736,0.02703478134495676,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
calibrated_side_gamma,robust_gamma_abs,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.030081096717598555,0.027057717618133914,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
near_critical_stress,as_poisson,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.030045177454062832,0.02702482936699351,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
near_critical_stress,liquidity_guard,5,0.0,-270.53893631309484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.499999999999996,1.499999999999996,0.0,0.0,0.0,0.0,0.0
near_critical_stress,nominal_hawkes,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.03171697081107705,0.02858769819087441,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
near_critical_stress,robust_gamma,5,270.53893631309484,0.0,1.0,3517.0,0.055334896984063256,0.02352216522230951,0.4276224940746495,0.4480109397827186,0.10084440092032235,0.0,0.03339233298692712,0.030153903309682973,0.0,322.96975524475477,93.42062937062889,105.20500000000091,0.0
near_critical_stress,robust_gamma_abs,5,0.0,-270.53893631309484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037037095,0.17037037037037095,0.0,0.0,0.0,0.0,0.0
