policy,certainty_equivalent,cvar_5,fill_rate,mean_abs_inventory,scenario_mean_certainty_equivalent,pooled_mean_wealth,pooled_certainty_equivalent,pooled_cvar_5,mean_wealth_ci_low,mean_wealth_ci_high,cvar_5_ci_low,cvar_5_ci_high,baseline,mean_wealth_diff,diff_ci_low,diff_ci_high,paired_t_p_value,ablation_family
as_poisson,-13.974491081021972,-38.11338500687769,0.11469812499999996,2.558125,-13.974491081021972,-13.164873107892276,-14.245762742755254,-40.884657967933705,-13.661883421643104,-12.684770805523751,-42.95698259757746,-38.8899070507664,nominal_hawkes,-0.0172248520442347,-0.0256569146232926,-0.0080338447997447,0.0002039045962481,policy
known_true_gamma_no_ambiguity,-13.952360958684366,-38.082286461292036,0.11465624999999997,2.555,-13.952360958684366,-13.1436410577891,-14.220691581109568,-40.826647802990585,-13.59995887879118,-12.71554931771792,-42.858521219354344,-38.842177953693,nominal_hawkes,0.004007198058946,-0.001655802514446,0.0110118822710947,0.1836987407075849,policy
liquidity_guard,-13.62443629110175,-37.321023995960324,0.11409999999999995,2.5306249999999997,-13.62443629110175,-12.841665410033118,-13.844306806151906,-39.464226940628,-13.286569118078924,-12.399215078348492,-41.690886345325325,-37.54410535024587,nominal_hawkes,0.3059828458149258,0.2558163910595588,0.355353074860464,4.741260516503442e-31,policy
nominal_hawkes,-13.956203266409275,-38.08677529625779,0.11466874999999999,2.555,-13.956203266409275,-13.147648255848042,-14.224601502901434,-40.79770656412633,-13.57263864371643,-12.648114220741087,-43.00798797112654,-38.75198702677405,,,,,,policy
robust_gamma,-13.943916499225821,-38.073469778898065,0.11465124999999998,2.553125,-13.943916499225821,-13.13593628936968,-14.211038244015583,-40.76764932274689,-13.60490542430823,-12.67307156864134,-42.9767592301303,-38.75669075075671,nominal_hawkes,0.0117119664783654,0.0046637762971172,0.0199216973727292,0.0022314854181349,policy
robust_gamma_abs,-13.62443629110175,-37.321023995960324,0.11409999999999995,2.5306249999999997,-13.62443629110175,-12.841665410033118,-13.844306806151906,-39.464226940628,-13.30667711210459,-12.388372802177274,-41.679432744158625,-37.39494067869114,nominal_hawkes,0.3059828458149258,0.2569331072739548,0.3587810931992383,4.741260516503442e-31,policy
robust_vol_only,-13.956116964790587,-38.08667659625796,0.11466874999999999,2.555,-13.956116964790587,-13.147564190223216,-14.224506648083375,-40.79751671412671,-13.60917328248606,-12.664177510825963,-42.88513126132661,-38.81709203099689,nominal_hawkes,8.406562482901058e-05,7.814123421817376e-05,9.035784356313692e-05,1.6282055779696407e-122,policy
