policy,n,mean_wealth,mean_wealth_ci_low,mean_wealth_ci_high,cvar_5,cvar_5_ci_low,cvar_5_ci_high,certainty_equivalent
as_poisson,1600,-13.164873107892276,-13.661883421643104,-12.684770805523751,-40.884657967933705,-42.95698259757746,-38.8899070507664,-14.245762742755254
nominal_hawkes,1600,-13.147648255848042,-13.57263864371643,-12.648114220741089,-40.79770656412633,-43.00798797112654,-38.75198702677405,-14.224601502901434
robust_vol_only,1600,-13.147564190223216,-13.609173282486061,-12.664177510825965,-40.79751671412671,-42.88513126132661,-38.81709203099689,-14.224506648083377
robust_gamma,1600,-13.13593628936968,-13.60490542430823,-12.673071568641339,-40.76764932274689,-42.9767592301303,-38.75669075075671,-14.211038244015583
robust_gamma_abs,1600,-12.841665410033118,-13.30667711210459,-12.388372802177274,-39.464226940628,-41.679432744158625,-37.39494067869114,-13.844306806151906
liquidity_guard,1600,-12.841665410033118,-13.286569118078924,-12.399215078348492,-39.464226940628,-41.690886345325325,-37.54410535024587,-13.844306806151906
known_true_gamma_no_ambiguity,1600,-13.1436410577891,-13.599958878791181,-12.71554931771792,-40.826647802990585,-42.858521219354344,-38.842177953693,-14.220691581109568
