ticker,beta_fixed,mark_groups,n_events_raw,n_events_fit,horizon,event_rate_fit,neg_loglik,aic,success,spectral_radius,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue,mark_log_loss,baseline_mark_log_loss,mark_log_loss_improvement,count_limit,mu_limit,branching_in_limit,branching_from_limit,count_cancel_delete,mu_cancel_delete,branching_in_cancel_delete,branching_from_cancel_delete,count_execution,mu_execution,branching_in_execution,branching_from_execution,gamma_limit_from_limit,gamma_limit_from_cancel_delete,gamma_limit_from_execution,gamma_cancel_delete_from_limit,gamma_cancel_delete_from_cancel_delete,gamma_cancel_delete_from_execution,gamma_execution_from_limit,gamma_execution_from_cancel_delete,gamma_execution_from_execution
AAPL,1.0,limit|cancel_delete|execution,118497,30000,23399.908994956997,1.2820562681019578,39005.02770611038,78034.05541222075,True,0.6912536524652734,0.9999320197888608,1.7304816602756883,0.23261785064638701,0.0,1.0376500930109196,1.0601831833423394,0.022533090331419814,54818,0.15635424232168893,1.019651447408251,0.50827418947858,28689,0.07073238407769213,0.5903806524391286,0.4448588253045344,34990,0.12370347066571882,0.6419427232307041,1.298841808294969,0.3065253269481528,0.22165131470175478,0.4914748057583433,0.1463244784755482,0.2231676530799092,0.22088852088367117,0.055424384054879074,3.9857522870450585e-05,0.5864784816529546
AAPL,5.0,limit|cancel_delete|execution,118497,30000,23399.908994956997,1.2820562681019578,33977.23333807417,67978.46667614834,True,0.5603923011520071,1.0001863696762971,1.4233207190369999,0.1780480171812907,0.0,1.040752362395085,1.0601831833423394,0.019430820947254457,54818,0.25587171810783216,0.7964395384814204,0.389989075523554,28689,0.13501284690853615,0.4327958753554012,0.3339661494299463,34990,0.1679336967501097,0.5205983746639726,1.025878563547294,0.2231541167343375,0.1777035693526754,0.39558185239440746,0.1009482266800966,0.15147829249750877,0.18036935617779584,0.06588673210911986,0.004784287579762148,0.4499273549750907
AAPL,20.0,limit|cancel_delete|execution,118497,30000,23399.908994956997,1.2820562681019578,30189.779499596447,60403.558999192894,True,0.45660075993547705,1.0001242889794397,1.4800942285118954,0.11965373761554547,0.0,1.0386850895863948,1.0601831833423394,0.02149809375594458,54818,0.3208747212813569,0.6422884816043675,0.3010868974282879,28689,0.19326564262633397,0.2934979121297756,0.2697216695763129,34990,0.20267145665063682,0.43534637208609595,0.8003241988156382,0.17886203510803028,0.13878705073301073,0.3246393957633264,0.06502637306694103,0.11572819296077151,0.11274334610206303,0.057198489253316595,0.015206425882530636,0.3629414569502487
AAPL,100.0,limit|cancel_delete|execution,118497,30000,23399.908994956997,1.2820562681019578,27473.920873398878,54971.841746797756,True,0.36711143171787053,0.9999835070199657,1.698901739371652,0.05013236284393441,6.511446100606508e-66,1.035177767734436,1.0601831833423394,0.02500541560790337,54818,0.3796675528157018,0.503249338129052,0.23015484082110516,28689,0.22629614284559615,0.21278918432660504,0.21328358225320396,34990,0.23456869413420298,0.3578887449404613,0.6304888443218093,0.13992363673569655,0.1039728761736927,0.2593528252196628,0.04589348450098592,0.09529765921191369,0.07159804061370546,0.044337719584422675,0.014013046867597538,0.2995379784884411
AMZN,1.0,limit|cancel_delete|execution,57515,30000,23399.941957546995,1.2820544621190542,31742.769396718297,63509.53879343659,True,0.7708222459610349,1.000330528305899,3.3535646924351066,0.3882467500306415,0.0,0.9726269076525939,1.0361040832233617,0.06347717557076782,27845,0.12787630275813622,1.1996532093462413,0.6227839117028449,18251,0.07514011959191053,0.7665666057427872,0.710772396652553,11419,0.0623584393771413,0.713009112705613,1.3456726194392439,0.3616671508064564,0.35934374683975406,0.4786423117000309,0.23259858828804936,0.35139373594763285,0.18257428150710509,0.028518172608339065,3.491386516612776e-05,0.6844560262321078
AMZN,5.0,limit|cancel_delete|execution,57515,30000,23399.941957546995,1.2820544621190542,20867.558679896254,41759.11735979251,True,0.6837011957004411,1.0000021559096126,2.751547159848607,0.32820950079538713,0.0,0.9744825718775221,1.0361040832233617,0.0616215113458396,27845,0.20695344997001558,1.020043018232974,0.5131432218484734,18251,0.13311684836115778,0.6474273910079684,0.6038089856672436,11419,0.07759224938517752,0.6322446212980101,1.1827628230232357,0.29046539576624747,0.30918757278738285,0.4203900496793438,0.18503120975803847,0.2841081281925642,0.17828805305736567,0.037646616324187414,0.010513284687296528,0.5840847202865261
AMZN,20.0,limit|cancel_delete|execution,57515,30000,23399.941957546995,1.2820544621190542,10462.165867271437,20948.331734542873,True,0.6067033889039987,1.0000601998383374,2.333470127002465,0.25462189872991947,0.0,0.9755815311322615,1.0361040832233617,0.060522552091100135,27845,0.2639901871489678,0.8879454521595442,0.4295329662045947,18251,0.17590367346202462,0.5538138546909654,0.5230640074955286,11419,0.09393081741924651,0.5700920356868372,1.0592543688372236,0.24587620807379096,0.26268614478463415,0.3793830993011191,0.14975578637253395,0.24468162649764688,0.15937644182078464,0.033900971758269796,0.01569623621324753,0.5204948277153199
AMZN,100.0,limit|cancel_delete|execution,57515,30000,23399.941957546995,1.2820544621190542,1085.7190653966863,2195.4381307933727,True,0.5376057481493564,0.9999955846538904,2.07375342851144,0.1456267280530282,0.0,0.9755149028028557,1.0361040832233617,0.060589180420505984,27845,0.30682756731377925,0.7769500151968074,0.37173718578161224,18251,0.20723249250206421,0.4798064195485313,0.47192163887865124,11419,0.1109415174647474,0.5097389047792762,0.9228365148643514,0.21535885744363154,0.2398236363788954,0.3217675213742804,0.1267552500548509,0.21775566693770576,0.13529550255597464,0.029623078283129826,0.014342335562050106,0.4657734909340963
GOOG,1.0,limit|cancel_delete|execution,49482,30000,23399.305662676,1.2820893248919218,24285.03882139737,48594.07764279474,True,0.7789865248734037,0.9999932965108003,4.178930370061905,0.44096149683235203,0.0,0.9543917744799577,1.0449009778957494,0.09050920341579172,24368,0.12334903708160362,1.2803425720035018,0.46647649040676026,13436,0.06559148442874034,0.6917483371573758,0.9525203891477172,11678,0.0689114606118502,0.7584544622480595,1.3115484918544595,0.2721962371662674,0.6078737632850327,0.4002725715522017,0.1805291108874477,0.3446203983325244,0.16659882793740372,0.013751142353045117,2.622753016008306e-05,0.7446770923648542
GOOG,5.0,limit|cancel_delete|execution,49482,30000,23399.305662676,1.2820893248919218,10613.636476368934,21251.27295273787,True,0.7268986157224222,1.0000016700787346,3.3166295061168487,0.3811693827551295,0.0,0.9435393751836761,1.0449009778957494,0.10136160271207328,24368,0.18804041629393298,1.105773952313929,0.43493212693156025,13436,0.10111936271682603,0.6010336037309074,0.8468955977365016,11678,0.08020250409449682,0.7052321349613803,1.1302119663381547,0.24512830377265643,0.5431062539058652,0.31753939463540726,0.16265795804015235,0.2960092654623404,0.1423663802284147,0.027145865118751528,0.007780078368296024,0.6703061914743327
