symbol,event_group,date,beta_fixed,n_events_raw,event_share,mu,rho,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
BTCUSDT,all,2024-01-15,100.0,1364603,1.0,0.45081492825048536,0.3508060322329873,20131.847376941092,40267.694753882184,True,60000,86399.99836458101,0.6944444575892089,0.9999903368150465,1.0009467500289488,0.07138279996917554,5.643346002872187e-266
BTCUSDT,buy_aggressor,2024-01-15,100.0,490089,0.35914401477939006,0.4346081823202305,0.37414878634407894,8314.919084393623,16633.838168787246,True,60000,86399.9964901395,0.6944444726551299,0.9999940419744631,1.1912235185476303,0.14023966347812844,0.0
BTCUSDT,sell_aggressor,2024-01-15,100.0,874514,0.6408559852206099,0.3520907784441925,0.49297178684835685,-26693.845297757274,-53383.69059551455,True,60000,86399.99787449202,0.6944444615283246,0.999990946006533,1.090058782841858,0.07248665424051925,2.9866911411422093e-274
ETHUSDT,all,2024-01-15,100.0,597417,1.0,0.47704832216422005,0.31299484132242045,29462.23706507198,58928.47413014396,True,60000,86399.9965974675,0.6944444717924755,0.9999521609681904,1.0328804632898025,0.09317627369916706,0.0
ETHUSDT,buy_aggressor,2024-01-15,100.0,308467,0.5163344866316157,0.4237824784978053,0.38989783898431246,7556.586794548093,15117.173589096186,True,60000,86399.99430842404,0.694444490190782,1.000153552037864,1.1007013950060287,0.1493134213411277,0.0
ETHUSDT,sell_aggressor,2024-01-15,100.0,288950,0.4836655133683842,0.3732124318489638,0.4625801541024004,-19361.59355647833,-38719.18711295666,True,60000,86399.99428890704,0.694444490347651,1.000008656992476,1.3662759036282117,0.20040529520197334,0.0
SOLUSDT,all,2024-01-15,100.0,218278,1.0,0.5882191608112136,0.1529734458796711,58968.96034057301,117941.92068114602,True,60000,86398.71221817019,0.6944547952114225,1.000010530354982,0.8829854896220249,0.03581453783870219,2.8496019031608255e-67
SOLUSDT,buy_aggressor,2024-01-15,100.0,115599,0.5295952867444268,0.5308374622433188,0.2356836975506577,38379.478253939655,76762.95650787931,True,60000,86390.16411539391,0.6945235098738349,1.0000153616391594,1.065357554577209,0.07477985805243408,7.5076158207762715e-292
SOLUSDT,sell_aggressor,2024-01-15,100.0,102679,0.47040471325557315,0.5113594272958493,0.2636726810354885,33344.53080889775,66693.0616177955,True,60000,86397.62710277145,0.6944635172517988,1.0000223059571474,1.3217652661682917,0.09219728318250113,0.0
