time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,value
7,1,0.3,0.005,relative_slack,0.3035,-0.0011117974650178843
7,2,0.3,0.005,relative_slack,0.3035,-0.17615943241177076
7,3,0.3,0.005,relative_slack,0.3035,-0.4938333963239989
7,4,0.3,0.005,relative_slack,0.3035,-0.9731662945527679
7,5,0.3,0.005,relative_slack,0.3035,-1.5913792302599883
8,-5,0.3,0.005,relative_slack,0.3035,-1.575559040683589
8,-4,0.3,0.005,relative_slack,0.3035,-0.9661340633864511
8,-3,0.3,0.005,relative_slack,0.3035,-0.4928352935129332
8,-2,0.3,0.005,relative_slack,0.3035,-0.17809136006117698
8,-1,0.3,0.005,relative_slack,0.3035,-0.004047719052976184
8,0,0.3,0.005,relative_slack,0.3035,0.05487001311768139
8,1,0.3,0.005,relative_slack,0.3035,-0.004047719052976184
8,2,0.3,0.005,relative_slack,0.3035,-0.17809136006117698
8,3,0.3,0.005,relative_slack,0.3035,-0.4928352935129332
8,4,0.3,0.005,relative_slack,0.3035,-0.9661340633864511
8,5,0.3,0.005,relative_slack,0.3035,-1.575559040683589
9,-5,0.3,0.005,relative_slack,0.3035,-1.5592451353574721
9,-4,0.3,0.005,relative_slack,0.3035,-0.9587604747436924
9,-3,0.3,0.005,relative_slack,0.3035,-0.4916737181885234
9,-2,0.3,0.005,relative_slack,0.3035,-0.17997109764616365
9,-1,0.3,0.005,relative_slack,0.3035,-0.006978195463963495
9,0,0.3,0.005,relative_slack,0.3035,0.05157331670263546
9,1,0.3,0.005,relative_slack,0.3035,-0.006978195463963495
9,2,0.3,0.005,relative_slack,0.3035,-0.17997109764616365
9,3,0.3,0.005,relative_slack,0.3035,-0.49167371818852346
9,4,0.3,0.005,relative_slack,0.3035,-0.9587604747436924
9,5,0.3,0.005,relative_slack,0.3035,-1.5592451353574721
10,-5,0.3,0.005,relative_slack,0.3035,-1.5424291934884617
10,-4,0.3,0.005,relative_slack,0.3035,-0.951035524366551
10,-3,0.3,0.005,relative_slack,0.3035,-0.49034245680010113
10,-2,0.3,0.005,relative_slack,0.3035,-0.18179616821215014
10,-1,0.3,0.005,relative_slack,0.3035,-0.009902900193624784
10,0,0.3,0.005,relative_slack,0.3035,0.048263002803793156
10,1,0.3,0.005,relative_slack,0.3035,-0.009902900193624784
10,2,0.3,0.005,relative_slack,0.3035,-0.18179616821215014
10,3,0.3,0.005,relative_slack,0.3035,-0.49034245680010113
10,4,0.3,0.005,relative_slack,0.3035,-0.951035524366551
10,5,0.3,0.005,relative_slack,0.3035,-1.5424291934884617
11,-5,0.3,0.005,relative_slack,0.3035,-1.5251030049478458
11,-4,0.3,0.005,relative_slack,0.3035,-0.9429489981891321
11,-3,0.3,0.005,relative_slack,0.3035,-0.48883508766508577
11,-2,0.3,0.005,relative_slack,0.3035,-0.18356397835470034
11,-1,0.3,0.005,relative_slack,0.3035,-0.01282148616855568
11,0,0.3,0.005,relative_slack,0.3035,0.044938348937510635
11,1,0.3,0.005,relative_slack,0.3035,-0.01282148616855568
11,2,0.3,0.005,relative_slack,0.3035,-0.18356397835470034
11,3,0.3,0.005,relative_slack,0.3035,-0.48883508766508577
11,4,0.3,0.005,relative_slack,0.3035,-0.9429489981891321
11,5,0.3,0.005,relative_slack,0.3035,-1.5251030049478458
12,-5,0.3,0.005,relative_slack,0.3035,-1.5072584889959733
12,-4,0.3,0.005,relative_slack,0.3035,-0.9344904724653372
12,-3,0.3,0.005,relative_slack,0.3035,-0.48714497594551043
12,-2,0.3,0.005,relative_slack,0.3035,-0.18527181290026074
12,-1,0.3,0.005,relative_slack,0.3035,-0.01573358438514527
12,0,0.3,0.005,relative_slack,0.3035,0.04159859266411655
12,1,0.3,0.005,relative_slack,0.3035,-0.01573358438514527
12,2,0.3,0.005,relative_slack,0.3035,-0.18527181290026074
12,3,0.3,0.005,relative_slack,0.3035,-0.48714497594551043
12,4,0.3,0.005,relative_slack,0.3035,-0.9344904724653372
12,5,0.3,0.005,relative_slack,0.3035,-1.5072584889959733
13,-5,0.3,0.005,relative_slack,0.3035,-1.4888877140765844
13,-4,0.3,0.005,relative_slack,0.3035,-0.9256493141922549
13,-3,0.3,0.005,relative_slack,0.3035,-0.4852652686515081
13,-2,0.3,0.005,relative_slack,0.3035,-0.1869168293611939
13,-1,0.3,0.005,relative_slack,0.3035,-0.018638802454060962
13,0,0.3,0.005,relative_slack,0.3035,0.03824292926916337
13,1,0.3,0.005,relative_slack,0.3035,-0.018638802454060962
13,2,0.3,0.005,relative_slack,0.3035,-0.1869168293611939
13,3,0.3,0.005,relative_slack,0.3035,-0.4852652686515081
13,4,0.3,0.005,relative_slack,0.3035,-0.9256493141922549
13,5,0.3,0.005,relative_slack,0.3035,-1.4888877140765844
14,-5,0.3,0.005,relative_slack,0.3035,-1.469982899565199
14,-4,0.3,0.005,relative_slack,0.3035,-0.9164150096385372
14,-3,0.3,0.005,relative_slack,0.3035,-0.48318888948335803
14,-2,0.3,0.005,relative_slack,0.3035,-0.1884960521577288
14,-1,0.3,0.005,relative_slack,0.3035,-0.021536723043553273
14,0,0.3,0.005,relative_slack,0.3035,0.03487050930281041
14,1,0.3,0.005,relative_slack,0.3035,-0.021536723043553273
14,2,0.3,0.005,relative_slack,0.3035,-0.1884960521577288
14,3,0.3,0.005,relative_slack,0.3035,-0.48318888948335803
14,4,0.3,0.005,relative_slack,0.3035,-0.9164150096385372
14,5,0.3,0.005,relative_slack,0.3035,-1.469982899565199
15,-5,0.3,0.005,relative_slack,0.3035,-1.4505363861469243
15,-4,0.3,0.005,relative_slack,0.3035,-0.906777702787779
15,-3,0.3,0.005,relative_slack,0.3035,-0.4809085333863509
15,-2,0.3,0.005,relative_slack,0.3035,-0.1900063665996763
15,-1,0.3,0.005,relative_slack,0.3035,-0.02442690221424341
15,0,0.3,0.005,relative_slack,0.3035,0.031480435968172904
15,1,0.3,0.005,relative_slack,0.3035,-0.02442690221424341
15,2,0.3,0.005,relative_slack,0.3035,-0.1900063665996763
15,3,0.3,0.005,relative_slack,0.3035,-0.4809085333863509
15,4,0.3,0.005,relative_slack,0.3035,-0.906777702787779
15,5,0.3,0.005,relative_slack,0.3035,-1.4505363861469243
16,-5,0.3,0.005,relative_slack,0.3035,-1.4305407182504268
16,-4,0.3,0.005,relative_slack,0.3035,-0.8967262486341154
16,-3,0.3,0.005,relative_slack,0.3035,-0.47841666235785996
16,-2,0.3,0.005,relative_slack,0.3035,-0.19144451261780984
16,-1,0.3,0.005,relative_slack,0.3035,-0.027308867637518823
16,0,0.3,0.005,relative_slack,0.3035,0.028071762348847243
16,1,0.3,0.005,relative_slack,0.3035,-0.027308867637518823
16,2,0.3,0.005,relative_slack,0.3035,-0.19144451261780984
16,3,0.3,0.005,relative_slack,0.3035,-0.47841666235785996
16,4,0.3,0.005,relative_slack,0.3035,-0.8967262486341154
16,5,0.3,0.005,relative_slack,0.3035,-1.4305407182504268
17,-5,0.3,0.005,relative_slack,0.3035,-1.4099886728396152
17,-4,0.3,0.005,relative_slack,0.3035,-0.8862492133405888
17,-3,0.3,0.005,relative_slack,0.3035,-0.4757070473267299
17,-2,0.3,0.005,relative_slack,0.3035,-0.19280707524742963
17,-1,0.3,0.005,relative_slack,0.3035,-0.03018211670670156
17,0,0.3,0.005,relative_slack,0.3035,0.02464348846580007
17,1,0.3,0.005,relative_slack,0.3035,-0.03018211670670156
17,2,0.3,0.005,relative_slack,0.3035,-0.19280707524742963
17,3,0.3,0.005,relative_slack,0.3035,-0.4757070473267299
17,4,0.3,0.005,relative_slack,0.3035,-0.8862492133405888
17,5,0.3,0.005,relative_slack,0.3035,-1.4099886728396152
18,-5,0.3,0.005,relative_slack,0.3035,-1.3888732927311183
18,-4,0.3,0.005,relative_slack,0.3035,-0.8753348256025184
18,-3,0.3,0.005,relative_slack,0.3035,-0.4727739988303129
18,-2,0.3,0.005,relative_slack,0.3035,-0.19409047614352198
