time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,bid_offset,ask_offset,bid_active,ask_active,bid_action,ask_action,quoted_sides,action,no_quote_action,is_no_quote,is_full_no_quote,half_spread,quoted_half_spread,quote_cap_hit
0,-5,0.3,0.005,relative_slack,0.3035,0.01,0.1519047619047619,True,True,quote,quote,2,two_sided,none,False,False,0.08095238095238096,0.08095238095238096,False
0,-4,0.3,0.005,relative_slack,0.3035,0.01,0.7904761904761904,True,True,quote,quote,2,two_sided,none,False,False,0.4002380952380952,0.4002380952380952,False
0,-3,0.3,0.005,relative_slack,0.3035,0.01,0.6485714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.3292857142857143,0.3292857142857143,False
0,-2,0.3,0.005,relative_slack,0.3035,0.01,0.4357142857142857,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False
0,-1,0.3,0.005,relative_slack,0.3035,0.08095238095238094,0.2938095238095238,True,True,quote,quote,2,two_sided,none,False,False,0.18738095238095237,0.18738095238095237,False
0,0,0.3,0.005,relative_slack,0.3035,0.22285714285714286,0.22285714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False
0,1,0.3,0.005,relative_slack,0.3035,0.2938095238095238,0.08095238095238094,True,True,quote,quote,2,two_sided,none,False,False,0.18738095238095237,0.18738095238095237,False
0,2,0.3,0.005,relative_slack,0.3035,0.4357142857142857,0.01,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False
0,3,0.3,0.005,relative_slack,0.3035,0.6485714285714286,0.01,True,True,quote,quote,2,two_sided,none,False,False,0.3292857142857143,0.3292857142857143,False
0,4,0.3,0.005,relative_slack,0.3035,0.7904761904761904,0.01,True,True,quote,quote,2,two_sided,none,False,False,0.4002380952380952,0.4002380952380952,False
0,5,0.3,0.005,relative_slack,0.3035,0.1519047619047619,0.01,True,True,quote,quote,2,two_sided,none,False,False,0.08095238095238096,0.08095238095238096,False
1,-5,0.3,0.005,relative_slack,0.3035,0.01,0.1519047619047619,True,True,quote,quote,2,two_sided,none,False,False,0.08095238095238096,0.08095238095238096,False
1,-4,0.3,0.005,relative_slack,0.3035,0.01,0.7904761904761904,True,True,quote,quote,2,two_sided,none,False,False,0.4002380952380952,0.4002380952380952,False
1,-3,0.3,0.005,relative_slack,0.3035,0.01,0.6485714285714286,True,True,quote,quote,2,two_sided,none,False,False,0.3292857142857143,0.3292857142857143,False
1,-2,0.3,0.005,relative_slack,0.3035,0.01,0.4357142857142857,True,True,quote,quote,2,two_sided,none,False,False,0.22285714285714286,0.22285714285714286,False
