rho,one_minus_rho,gap_multiple,second_eigenvalue,spectral_gap,loading,perron_visibility,adversary,epsilon_rel,premium,theorem_proxy,premium_to_proxy
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,perron_visible,0.9999999999999998,perron_aligned,0.2,24.999999999999957,8.888888888888884,2.812499999999997
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,perron_visible,0.9999999999999998,second_mode,0.2,0.0,8.888888888888884,0.0
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2.4999999999999982,0.8888888888888882,2.8125000000000004
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,weak_perron_visible,0.31622776601683783,second_mode,0.2,2.345679012345675,0.8888888888888882,2.6388888888888866
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,perron_orthogonal,0.0,perron_aligned,0.2,1.7763568394002505e-15,0.0,
0.85,0.15000000000000002,2.0,0.7,0.15000000000000002,perron_orthogonal,0.0,second_mode,0.2,2.6063100137174153,0.0,
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,perron_visible,0.9999999999999998,perron_aligned,0.2,87.89062500000026,31.25000000000002,2.812500000000006
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,perron_visible,0.9999999999999998,second_mode,0.2,0.0,31.25000000000002,0.0
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,8.78906250000005,3.1250000000000018,2.812500000000014
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,weak_perron_visible,0.31622776601683783,second_mode,0.2,8.246527777777793,3.1250000000000018,2.6388888888888924
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.92,0.07999999999999996,2.0,0.8400000000000001,0.08000000000000007,perron_orthogonal,0.0,second_mode,0.2,9.162808641975325,0.0,
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,perron_visible,0.9999999999999998,perron_aligned,0.2,624.9999999999991,222.22222222222175,2.8125000000000018
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,perron_visible,0.9999999999999998,second_mode,0.2,0.0,222.22222222222175,0.0
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,62.49999999999994,22.22222222222217,2.812500000000004
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,weak_perron_visible,0.31622776601683783,second_mode,0.2,58.64197530864186,22.22222222222217,2.6388888888888897
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,perron_orthogonal,0.0,perron_aligned,0.2,1.1368683772161603e-13,0.0,
0.97,0.030000000000000027,2.0,0.94,0.030000000000000027,perron_orthogonal,0.0,second_mode,0.2,65.1577503429354,0.0,
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,perron_visible,0.9999999999999998,perron_aligned,0.2,2499.9999999999636,888.888888888887,2.812499999999965
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,perron_visible,0.9999999999999998,second_mode,0.2,0.0,888.888888888887,0.0
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,249.99999999999295,88.88888888888869,2.812499999999927
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,weak_perron_visible,0.31622776601683783,second_mode,0.2,234.56790123456062,88.88888888888869,2.638888888888813
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.985,0.015000000000000013,2.0,0.97,0.015000000000000013,perron_orthogonal,0.0,second_mode,0.2,260.6310013717373,0.0,
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,perron_visible,0.9999999999999998,perron_aligned,0.2,22499.999999997366,7999.999999999983,2.8124999999996767
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,perron_visible,0.9999999999999998,second_mode,0.2,0.0,7999.999999999983,0.0
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2249.999999999638,799.9999999999982,2.812499999999554
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,weak_perron_visible,0.31622776601683783,second_mode,0.2,2111.1111111108457,799.9999999999982,2.6388888888885633
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.995,0.0050000000000000044,2.0,0.99,0.004999999999999893,perron_orthogonal,0.0,second_mode,0.2,2345.6790123454775,0.0,
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,perron_visible,0.9999999999999998,perron_aligned,0.2,25.000000000000036,8.888888888888884,2.8125000000000058
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,perron_visible,0.9999999999999998,second_mode,0.2,0.0,8.888888888888884,0.0
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2.5000000000000027,0.8888888888888882,2.8125000000000053
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,weak_perron_visible,0.31622776601683783,second_mode,0.2,0.2700831024930759,0.8888888888888882,0.3038434903047106
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.85,0.15000000000000002,4.0,0.3999999999999999,0.4500000000000001,perron_orthogonal,0.0,second_mode,0.2,0.300092336103416,0.0,
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,perron_visible,0.9999999999999998,perron_aligned,0.2,87.89062500000006,31.25000000000002,2.8125
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,perron_visible,0.9999999999999998,second_mode,0.2,5.684341886080802e-14,31.25000000000002,1.8189894035458553e-15
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,8.789062500000007,3.1250000000000018,2.812500000000001
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,weak_perron_visible,0.31622776601683783,second_mode,0.2,0.9495109072022245,3.1250000000000018,0.3038434903047117
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.92,0.07999999999999996,4.0,0.6800000000000002,0.23999999999999988,perron_orthogonal,0.0,second_mode,0.2,1.0550121191135684,0.0,
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,perron_visible,0.9999999999999998,perron_aligned,0.2,624.9999999999986,222.22222222222175,2.8125
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,perron_visible,0.9999999999999998,second_mode,0.2,0.0,222.22222222222175,0.0
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,62.499999999999744,22.22222222222217,2.8124999999999947
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,weak_perron_visible,0.31622776601683783,second_mode,0.2,6.752077562326804,22.22222222222217,0.30384349030470686
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.97,0.030000000000000027,4.0,0.8799999999999999,0.09000000000000008,perron_orthogonal,0.0,second_mode,0.2,7.502308402585399,0.0,
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,perron_visible,0.9999999999999998,perron_aligned,0.2,2499.999999999902,888.888888888887,2.8124999999998956
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,perron_visible,0.9999999999999998,second_mode,0.2,0.0,888.888888888887,0.0
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,249.9999999999891,88.88888888888869,2.8124999999998836
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,weak_perron_visible,0.31622776601683783,second_mode,0.2,27.008310249303463,88.88888888888869,0.3038434903046647
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.985,0.015000000000000013,4.0,0.94,0.04500000000000004,perron_orthogonal,0.0,second_mode,0.2,30.009233610340857,0.0,
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,perron_visible,0.9999999999999998,perron_aligned,0.2,22499.99999999904,7999.999999999983,2.812499999999886
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,perron_visible,0.9999999999999998,second_mode,0.2,0.0,7999.999999999983,0.0
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2249.9999999998918,799.9999999999982,2.812499999999871
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,weak_perron_visible,0.31622776601683783,second_mode,0.2,243.07479224366398,799.9999999999982,0.3038434903045807
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.995,0.0050000000000000044,4.0,0.98,0.015000000000000013,perron_orthogonal,0.0,second_mode,0.2,270.0831024930603,0.0,
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,perron_visible,0.9999999999999998,perron_aligned,0.2,24.99999999999995,8.888888888888884,2.812499999999996
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,perron_visible,0.9999999999999998,second_mode,0.2,0.0,8.888888888888884,0.0
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,2.499999999999992,0.8888888888888882,2.8124999999999933
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,weak_perron_visible,0.31622776601683783,second_mode,0.2,0.032462195923728565,0.8888888888888882,0.036519970414194663
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,perron_orthogonal,0.0,perron_aligned,0.2,0.0,0.0,
0.85,0.15000000000000002,8.0,-0.20000000000000018,0.6499999999999995,perron_orthogonal,0.0,second_mode,0.2,0.03606910658192641,0.0,
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,perron_visible,0.9999999999999998,perron_aligned,0.2,87.89062500000017,31.25000000000002,2.8125000000000036
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,perron_visible,0.9999999999999998,second_mode,0.2,8.526512829121202e-14,31.25000000000002,2.7284841053187828e-15
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,8.789062500000032,3.1250000000000018,2.8125000000000084
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,weak_perron_visible,0.31622776601683783,second_mode,0.2,0.1141249075443902,3.1250000000000018,0.03651997041420484
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,perron_orthogonal,0.0,perron_aligned,0.2,3.1086244689504383e-15,0.0,
0.92,0.07999999999999996,8.0,0.3600000000000003,0.5599999999999997,perron_orthogonal,0.0,second_mode,0.2,0.126805452827087,0.0,
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,perron_visible,0.9999999999999998,perron_aligned,0.2,624.9999999999998,222.22222222222175,2.812500000000005
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,perron_visible,0.9999999999999998,second_mode,0.2,0.0,222.22222222222175,0.0
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,weak_perron_visible,0.31622776601683783,perron_aligned,0.2,62.49999999999987,22.22222222222217,2.8125000000000004
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,weak_perron_visible,0.31622776601683783,second_mode,0.2,0.8115548980933482,22.22222222222217,0.036519970414200756
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,perron_orthogonal,0.0,perron_aligned,0.2,1.0658141036401503e-14,0.0,
0.97,0.030000000000000027,8.0,0.7599999999999998,0.2100000000000002,perron_orthogonal,0.0,second_mode,0.2,0.9017276645481687,0.0,
0.985,0.015000000000000013,8.0,0.8799999999999999,0.10499999999999998,perron_visible,0.9999999999999998,perron_aligned,0.2,2499.9999999999027,888.888888888887,2.8124999999998965
