ticker,scenario,policy,rho_hat,rho_true,epsilon,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,join_side_time_frac,improve_side_time_frac,away_side_time_frac,no_quote_side_time_frac,full_no_quote_time_frac,mean_bid_offset,mean_ask_offset,crossing_clamp_count,queue_depletion_from_exec,queue_depletion_from_visible_size_drop,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AAPL,calibrated_side_gamma,as_poisson,0.3687475368594672,0.3687475368594672,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.03524708956592856,0.03292457901078516,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,calibrated_side_gamma,nominal_hawkes,0.3687475368594672,0.3687475368594672,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.03524725165974314,0.032924728280481534,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,calibrated_side_gamma,robust_gamma,0.3687475368594672,0.3687475368594672,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.03525010277140468,0.03292735382528118,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,calibrated_side_gamma,robust_gamma_abs,0.3687475368594672,0.3687475368594672,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.035256284849562065,0.032933046805805,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,calibrated_side_gamma,liquidity_guard,0.3687475368594672,0.3687475368594672,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.035256284849562065,0.032933046805805,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,near_critical_stress,as_poisson,0.97,0.97,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.03524708956592856,0.03292457901078516,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.036506745037387205,0.034084576326079315,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,near_critical_stress,robust_gamma,0.97,0.97,0.02,621.3063427981017,-2.0,2.0,8788,4393,4395,0.10985,264.8200000000072,0.0,141214.62880762568,0.03402733494413079,0.7269779163941797,0.07769366402953279,0.16130108463215667,0.0,0.037769089526692466,0.03524704991647777,0,733.0795454545456,107.92045454545425,20303,80000,17694.830075293,88.0,621.3063427981017,0.0
AAPL,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17037037037036895,0.17037037037036895,0,0.0,0.0,11515,80000,17694.830075293,88.0,621.3063427981017,-621.3063427981017
AAPL,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0,0.0,0.0,11515,80000,17694.830075293,88.0,621.3063427981017,-621.3063427981017
