scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,arrival_simulator,dt,steps,audit_horizon,mean_total_events
rho0.920_eps0.0200_discrete,25,0.92,0.93,0.02,as_poisson,-8.533588449404629,3.0,3.0,98.0,0.245,3.51025562130177,8.627435030396029,97.58000000000003,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,26,0.92,0.93,0.02,as_poisson,-8.111840858920747,1.0,1.0,287.0,0.7175,11.67597988165679,32.20013247281142,50.6199999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,27,0.92,0.93,0.02,as_poisson,-2.684638721154107,0.0,0.0,30.0,0.075,0.70507100591716,2.360580792234373,37.360000000000014,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,28,0.92,0.93,0.02,as_poisson,-9.14468115203737,-3.0,3.0,38.0,0.095,1.4051088757396453,2.5984449069781874,112.87999999999992,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,29,0.92,0.93,0.02,as_poisson,-3.8493476968346756,1.0,1.0,61.0,0.1525,1.4201609467455623,5.3942151724412355,35.400000000000034,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,30,0.92,0.93,0.02,as_poisson,-1.1786381380090267,-2.0,2.0,65.0,0.1625,1.5101656804733734,5.105093622973541,21.31999999999989,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,31,0.92,0.93,0.02,as_poisson,-0.16722779376778463,-1.0,1.0,34.0,0.085,0.9800946745562131,2.312738921041799,18.29999999999995,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,32,0.92,0.93,0.02,as_poisson,-7.579665850170644,-4.0,4.0,81.0,0.2025,2.1202130177514795,6.9800307530314285,45.21999999999996,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,33,0.92,0.93,0.02,as_poisson,-2.3954832668778128,-2.0,2.0,74.0,0.185,1.8452035502958584,5.171221290603228,22.49999999999989,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,34,0.92,0.93,0.02,as_poisson,-16.247601436698105,-1.0,1.0,214.0,0.535,9.450643786982246,21.75236663341377,78.19999999999996,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,35,0.92,0.93,0.02,as_poisson,-3.5135191240012875,0.0,0.0,24.0,0.06,0.5100568047337279,1.9507156555482368,54.47999999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,36,0.92,0.93,0.02,as_poisson,-8.729816545245555,1.0,1.0,58.0,0.145,2.1051467455621307,4.860416410285836,127.19999999999972,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,37,0.92,0.93,0.02,as_poisson,-11.792040417301848,2.0,2.0,126.0,0.315,4.100383431952657,12.011271016523239,55.88000000000023,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,38,0.92,0.93,0.02,as_poisson,-3.702401557791135,1.0,1.0,96.0,0.24,2.3052603550295836,7.663911194586859,23.41999999999986,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,39,0.92,0.93,0.02,as_poisson,-5.450407983098408,3.0,3.0,107.0,0.2675,3.2702982248520662,8.311901103670593,57.99999999999998,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,40,0.92,0.93,0.02,as_poisson,-2.9938103171692774,0.0,0.0,89.0,0.2225,1.7852366863905331,7.341781184331907,13.799999999999953,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,41,0.92,0.93,0.02,as_poisson,-5.954644321865487,0.0,0.0,103.0,0.2575,2.5902650887573935,9.41163313578106,46.14000000000004,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,42,0.92,0.93,0.02,as_poisson,-3.8095814951072873,-2.0,2.0,31.0,0.0775,0.9400804733727814,2.439051326953944,51.559999999999896,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,43,0.92,0.93,0.02,as_poisson,-3.367983162434281,0.0,0.0,87.0,0.2175,2.260222485207099,7.109960998670417,36.59999999999987,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,44,0.92,0.93,0.02,as_poisson,-2.384794962383827,-3.0,3.0,50.0,0.125,1.1101278106508878,3.9647777218535794,17.75999999999993,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,45,0.92,0.93,0.02,as_poisson,-7.5929437383011,-4.0,4.0,53.0,0.1325,2.1901514792899404,4.231269698831241,82.91999999999969,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,46,0.92,0.93,0.02,as_poisson,-0.7700720773807935,2.0,2.0,22.0,0.055,0.4250662721893491,1.4937848448068394,7.059999999999984,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,47,0.92,0.93,0.02,as_poisson,-9.4103949784131,-4.0,4.0,124.0,0.31,4.680345562130173,10.604189522143301,64.29999999999988,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,48,0.92,0.93,0.02,as_poisson,-5.748707144097063,0.0,0.0,39.0,0.0975,1.110094674556213,3.2967980375669157,82.9799999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,49,0.92,0.93,0.02,as_poisson,-7.912746268997195,-3.0,3.0,83.0,0.2075,2.475208284023667,7.343319518057271,60.159999999999876,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,50,0.92,0.93,0.02,as_poisson,-6.524788148986067,-5.0,5.0,33.0,0.0825,0.9100899408284026,2.5811690241268224,70.89999999999986,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,51,0.92,0.93,0.02,as_poisson,-11.268941555319369,2.0,2.0,143.0,0.3575,4.690426035502953,12.396156567131982,50.959999999999965,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,52,0.92,0.93,0.02,as_poisson,-3.9086212276059893,-1.0,1.0,69.0,0.1725,1.880165680473373,5.193171354273488,34.939999999999955,discrete,0.02,400,8.0,226.7875
