ticker,scenario,policy,rho_hat,rho_true,epsilon,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AAPL,calibrated_side_gamma,as_poisson,0.3687475368594672,0.3687475368594672,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,calibrated_side_gamma,nominal_hawkes,0.3687475368594672,0.3687475368594672,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,calibrated_side_gamma,robust_gamma,0.3687475368594672,0.3687475368594672,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,calibrated_side_gamma,robust_gamma_abs,0.3687475368594672,0.3687475368594672,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,calibrated_side_gamma,liquidity_guard,0.3687475368594672,0.3687475368594672,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,near_critical_stress,as_poisson,0.97,0.97,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,near_critical_stress,robust_gamma,0.97,0.97,0.02,789.6620122030947,-1.0,1.0,7203,3601,3602,0.0900375,470.89000000000476,0.0,158451.95118764942,0.2078306704942522,0.0,18718,80000,17694.830075293,88.0,789.6620122030947,0.0
AAPL,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,11515,80000,17694.830075293,88.0,789.6620122030947,-789.6620122030947
AAPL,near_critical_stress,liquidity_guard,0.97,0.97,0.02,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,11515,80000,17694.830075293,88.0,789.6620122030947,-789.6620122030947
AMZN,calibrated_side_gamma,as_poisson,0.5473364111346355,0.5473364111346355,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,calibrated_side_gamma,nominal_hawkes,0.5473364111346355,0.5473364111346355,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,calibrated_side_gamma,robust_gamma,0.5473364111346355,0.5473364111346355,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,calibrated_side_gamma,robust_gamma_abs,0.5473364111346355,0.5473364111346355,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,calibrated_side_gamma,liquidity_guard,0.5473364111346355,0.5473364111346355,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,near_critical_stress,as_poisson,0.97,0.97,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
AMZN,near_critical_stress,robust_gamma,0.97,0.97,0.02,291.3939276709234,0.0,0.0,3602,1801,1801,0.06262714074589237,168.1300000000006,0.0,215904.28931632772,0.2119483901040166,0.0,14409,57515,23399.941900032994,66.0,291.3939276709234,0.0
