ticker,scenario,policy,rho_hat,rho_true,epsilon,levels,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,join_l1_side_time_frac,improve_side_time_frac,depth_visible_side_time_frac,outside_depth_side_time_frac,no_quote_side_time_frac,full_no_quote_time_frac,mean_visible_depth_rank,mean_bid_offset,mean_ask_offset,crossing_clamp_count,queue_depletion_from_exec,queue_depletion_from_visible_depth,quote_updates,n_events,horizon,size_scale,nominal_terminal_wealth,wealth_diff_vs_nominal
AAPL,calibrated_side_gamma,as_poisson,0.3687475368594672,0.3687475368594672,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03831790452057125,0.03490602506197884,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,calibrated_side_gamma,nominal_hawkes,0.3687475368594672,0.3687475368594672,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.038318063255846295,0.034906168183049445,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,calibrated_side_gamma,robust_gamma,0.3687475368594672,0.3687475368594672,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03832085529324916,0.03490868557801563,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,calibrated_side_gamma,robust_gamma_abs,0.3687475368594672,0.3687475368594672,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03832690928042815,0.0349141440567704,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,calibrated_side_gamma,liquidity_guard,0.3687475368594672,0.3687475368594672,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03832690928042815,0.0349141440567704,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,near_critical_stress,as_poisson,0.97,0.97,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03831790452057125,0.03490602506197884,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.03955146027317272,0.036018240478012026,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,near_critical_stress,robust_gamma,0.97,0.97,0.02,10,243.1024672860343,4.0,4.0,3098,1551,1547,0.038725,99.49500000000137,0.0,40150.13085589488,0.019247214254881125,0.7148026506421176,0.0332694081278599,0.0,0.23268072697514147,0.0,1.7375430038255948,0.040787649327902416,0.03713283016794065,0,564.7444444444442,206.72201151010373,6897,80000,4092.4207160000005,90.0,243.1024672860343,0.0
AAPL,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17037037037037026,0.17037037037037026,0,0.0,0.0,3799,80000,4092.4207160000005,90.0,243.1024672860343,-243.1024672860343
AAPL,near_critical_stress,liquidity_guard,0.97,0.97,0.02,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0,0.0,0.0,3799,80000,4092.4207160000005,90.0,243.1024672860343,-243.1024672860343
