ticker,scenario,policy,rho_hat,rho_true,epsilon,levels,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,total_fill_lots,bid_fill_lots,ask_fill_lots,fill_rate,spread_capture,adverse_selection,inventory_penalty,join_l1_side_time_frac,improve_side_time_frac,depth_visible_side_time_frac,outside_depth_side_time_frac,no_quote_side_time_frac,full_no_quote_time_frac,mean_visible_depth_rank,mean_bid_offset,mean_ask_offset,crossing_clamp_count,priority_ahead_additions,priority_ahead_depletion,priority_behind_additions,priority_behind_depletion_ignored,priority_initial_ahead_lots,priority_visible_quote_resets,priority_mean_initial_ahead_lots,priority_visible_levels_used,priority_min_visible_depth_rank,priority_max_visible_depth_rank,priority_queue_fills,priority_improve_fills,priority_queue_violation_count,priority_partial_fill_events,priority_residual_fill_lots,priority_zero_residual_fill_prevented,priority_initial_queue_fraction,priority_queue_stress_multiplier,quote_updates,n_events,horizon,size_scale
AAPL,calibrated_side_gamma,as_poisson,0.3687475368594672,0.3687475368594672,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.013017917144701697,0.040362177746578146,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,calibrated_side_gamma,nominal_hawkes,0.3687475368594672,0.3687475368594672,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.013018004808775597,0.0403624516278032,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,calibrated_side_gamma,robust_gamma,0.3687475368594672,0.3687475368594672,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.01301954675572749,0.040367268998283266,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,calibrated_side_gamma,robust_gamma_abs,0.3687475368594672,0.3687475368594672,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.01302289016619442,0.04037771452422225,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,calibrated_side_gamma,liquidity_guard,0.3687475368594672,0.3687475368594672,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.01302289016619442,0.04037771452422225,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,near_critical_stress,as_poisson,0.97,0.97,0.02,50,-0.21920980579199456,-1.5000000000000002,1.5000000000000002,41,18,23,29.630434782608695,14.065217391304348,15.565217391304348,0.0004456667065230388,0.1679347826088877,0.0,10996.839223168723,0.031278764239180995,0.9363454488598555,0.03237578690096352,0.0,0.0,0.0,1.585226945212556,0.013017917144701697,0.040362177746578146,0,580.4347826086922,607.1630434782579,138.23913043478242,63.02173913043486,1005.8586956521715,455,2.2106784519827944,50,1,4,0,41,0,15,29.630434782608695,1,1.0,1.0,3509,91997,3599.833205877003,92.0
AAPL,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,50,0.17573136680191534,-1.4347826086956523,1.4347826086956523,47,21,26,33.347826086956516,15.956521739130435,17.391304347826086,0.0005108862245508006,0.2054347826089549,0.0,7467.509315402488,0.028746081016074815,0.9457163009748758,0.02553761800904938,0.0,0.0,0.0,1.5097359140002429,0.014450888757883591,0.038670831456420494,0,556.5543478260847,578.228260869563,127.69565217391295,62.09782608695658,830.6195652173893,394,2.1081714853233233,50,1,4,0,47,0,17,33.347826086956516,1,1.0,1.0,3513,91997,3599.833205877003,92.0
AAPL,near_critical_stress,robust_gamma,0.97,0.97,0.02,50,-6.348368604443962,-2.6739130434782608,2.6739130434782608,47,20,27,33.54347826086956,15.434782608695652,18.108695652173914,0.0005108862245508006,0.16233695652181887,0.0,12706.517896036788,0.029910610781141923,0.877995680410001,0.0242736834679828,0.0,0.06782002534087435,0.0,1.4978115902174693,0.02049598503805985,0.039276222511696365,0,435.4565217391305,476.5108695652176,96.36956521739124,40.20652173913046,754.0217391304332,391,1.9284443456021307,50,1,4,1,46,0,15,33.54347826086956,0,1.0,1.0,3515,91997,3599.833205877003,92.0
AAPL,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,50,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1703703703703692,0.1703703703703692,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50,0,0,0,0,0,0,0.0,0,1.0,1.0,3483,91997,3599.833205877003,92.0
AAPL,near_critical_stress,liquidity_guard,0.97,0.97,0.02,50,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50,0,0,0,0,0,0,0.0,0,1.0,1.0,3483,91997,3599.833205877003,92.0
MSFT,calibrated_side_gamma,as_poisson,0.5463582850875636,0.5463582850875636,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.02094124356263008,0.0193800982924213,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,calibrated_side_gamma,nominal_hawkes,0.5463582850875636,0.5463582850875636,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.020946228441999462,0.019384771945886906,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,calibrated_side_gamma,robust_gamma,0.5463582850875636,0.5463582850875636,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.02095594704917921,0.019393883781653177,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,calibrated_side_gamma,robust_gamma_abs,0.5463582850875636,0.5463582850875636,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.02098907550328343,0.01942494389421891,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,calibrated_side_gamma,liquidity_guard,0.5463582850875636,0.5463582850875636,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.02098907550328343,0.01942494389421891,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,near_critical_stress,as_poisson,0.97,0.97,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.02094124356263008,0.0193800982924213,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,near_critical_stress,nominal_hawkes,0.97,0.97,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.023158732057041657,0.021459140134591673,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,near_critical_stress,robust_gamma,0.97,0.97,0.02,50,-0.006189997164033317,0.0,0.0,5,3,2,4.0,2.0,2.0,3.533394107711986e-05,0.004999999999999005,0.0,224.7599886561361,0.001353695277590537,0.0,0.9986463047224095,0.0,0.0,0.0,3.0274453315104393,0.025380954279263963,0.023542620159063006,0,134457.6149999983,141088.744999998,8231.385000000002,1426.925,1057386.039999992,6806,155.360863943578,50,1,5,5,0,0,1,4.0,0,1.0,1.0,3403,141507,3599.773431044996,200.0
MSFT,near_critical_stress,robust_gamma_abs,0.97,0.97,0.02,50,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17037037037037378,0.17037037037037378,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50,0,0,0,0,0,0,0.0,0,1.0,1.0,3399,141507,3599.773431044996,200.0
MSFT,near_critical_stress,liquidity_guard,0.97,0.97,0.02,50,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,50,0,0,0,0,0,0,0.0,0,1.0,1.0,3399,141507,3599.773431044996,200.0
