policy,terminal_wealth,final_inventory,abs_inventory,fills,bid_fills,ask_fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,no_quote_side_time_frac,full_no_quote_time_frac,quote_updates,n_events,path_id,rho_hat,rho_true,epsilon,horizon,decision_dt,scenario_id
robust_gamma_abs,1.1478751532150602,0.0,0.0,88,44,44,1.0,2.618124999999999,1.3250984356170221,16.019741111275483,0.013673877312013305,0.0,62,88,5,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,1.1478751532150602,0.0,0.0,88,44,44,1.0,2.618124999999999,1.3250984356170221,16.019741111275483,0.013673877312013305,0.0,62,88,5,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,0.4086645420768255,-3.0,3.0,165,81,84,0.9217877094972067,4.640624999999991,2.4777255321715757,37.99056719448992,0.10634796351405684,0.0,109,179,6,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,0.43428954207596376,-3.0,3.0,165,81,84,0.9217877094972067,4.66624999999999,2.4777255321715757,37.99056719448992,0.10634796351405684,0.0,109,179,6,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,1.1117895420768256,-3.0,3.0,165,81,84,0.9217877094972067,5.343749999999995,2.4777255321715757,37.99056719448992,0.10634796351405684,0.0,109,179,6,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,1.1117895420768256,-3.0,3.0,165,81,84,0.9217877094972067,5.343749999999995,2.4777255321715757,37.99056719448992,0.10634796351405684,0.0,109,179,6,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-1.1075718744732324,2.0,2.0,78,40,38,0.9069767441860465,2.172187499999999,1.1659560647839982,40.375348885412095,0.08714861974686047,0.0,64,86,7,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-1.0953843744735348,2.0,2.0,78,40,38,0.9069767441860465,2.1843749999999984,1.1659560647839982,40.375348885412095,0.08714861974686047,0.0,64,86,7,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.7653843744732096,2.0,2.0,78,40,38,0.9069767441860465,2.5143749999999994,1.1659560647839982,40.375348885412095,0.08714861974686047,0.0,64,86,7,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
liquidity_guard,-0.7653843744732096,2.0,2.0,78,40,38,0.9069767441860465,2.5143749999999994,1.1659560647839982,40.375348885412095,0.08714861974686047,0.0,64,86,7,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
nominal_hawkes,-1.0395797365732349,6.0,6.0,136,71,65,0.84472049689441,4.793124999999993,2.0369027193741545,52.18151970519316,0.1303918600670148,0.0,108,161,8,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma,-1.0164547365743217,6.0,6.0,136,71,65,0.84472049689441,4.816249999999991,2.0369027193741545,52.18151970519316,0.1303918600670148,0.0,108,161,8,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
robust_gamma_abs,-0.4427047365735076,6.0,6.0,136,71,65,0.84472049689441,5.3899999999999935,2.0369027193741545,52.18151970519316,0.1303918600670148,0.0,108,161,8,0.92,0.93,0.02,4.0,0.02,rho0.920_eps0.0200_event_queue
